Gene	High.2838c3.rep1.RNAseq.mm10.featureCounts.gene.txt	High_6499c4.rep2.RNAseq.mm10.featureCounts.gene.txt	High_6555c3.rep5.RNAseq.mm10.featureCounts.gene.txt	High_6556c4.rep7.RNAseq.mm10.featureCounts.gene.txt	High_6620c1.rep3.RNAseq.mm10.featureCounts.gene.txt	Low.6694c2.rep3.RNAseq.mm10.featureCounts.gene.txt	Low_2699c4.rep8.RNAseq.mm10.featureCounts.gene.txt	Low_6556c3.rep5.RNAseq.mm10.featureCounts.gene.txt	Low_6556c3.rep6.RNAseq.mm10.featureCounts.gene.txt	Low_6694c2.rep7.RNAseq.mm10.featureCounts.gene.txt
Homer2	786	664	853	454	950	230	322	522	298	50
Cops7a	10276	5325	5950	4107	6961	9708	1909	8314	5913	6227
Bcap29	2607	1628	2019	1065	1912	2476	630	3151	2860	2154
Polr3e	3849	2107	2661	1517	2440	4693	459	2927	2220	3033
Add3	7899	4855	5984	3441	6423	6670	1415	5906	5751	4114
Ripk3	1295	1126	1219	694	1255	2057	90	3958	2229	1055
Nfatc1	5380	3165	3659	2172	3521	15646	793	5506	4958	8555
Serpinb6a	47689	21220	25596	14276	26497	58328	7053	48991	26935	32605
Cby2	0	0	0	0	0	0	0	0	0	0
Tcf3	15725	7383	8887	5381	9724	16157	2136	11808	11273	11570
Tnfrsf19	758	558	676	509	910	168	76	200	2	6
Mcrs1	6188	3591	4454	2656	4555	6592	856	5739	4285	4054
Ppp6r3	20900	7994	9539	5731	10265	15022	3027	12338	9100	11362
Pom121l12	0	0	0	0	0	0	0	0	0	0
Pias2	7878	2714	3308	1926	3589	7111	1329	4158	3992	5346
Myh6	116289	77300	98581	56406	96415	25703	8219	14850	0	0
Cpsf1	13854	8052	8995	5522	9564	14278	1860	10678	11194	10023
Psmd10	3031	1177	1654	934	1556	3137	450	1789	2195	2432
Lsr	14145	8547	10532	6408	11099	13663	1762	10075	8080	8942
Barhl1	10	0	9	6	0	21	0	4	9	2
Nagk	3233	1683	1783	1303	2154	4715	378	3076	3199	3213
Mtm1	1153	521	748	365	723	635	127	676	387	303
Pex3	1973	916	1302	695	1359	1607	299	1509	860	819
Mmp19	1889	1368	1783	1123	1768	2692	189	2205	216	718
Prkacb	15918	6966	8846	4842	8787	17462	2142	11562	9801	8945
Cers3	44	25	24	19	24	65	5	34	15	19
Gm8369	14	5	10	3	19	9	0	15	0	2
Tsen34	5569	2934	3596	2103	3719	6690	577	4743	4051	4787
Tmem176b	45652	23972	28534	16590	28275	36508	2879	22993	25105	16432
Sptssb	2046	1033	1176	778	1158	1129	280	1177	1016	349
Rerg	470	416	388	250	536	132	32	110	10	0
Romo1	2781	1676	1979	1292	1863	2273	273	1865	2307	2154
Trim13	453	192	215	181	193	557	72	454	320	383
Cert1	18556	5340	6597	3580	7235	15373	2279	12248	12103	14627
Rpa1	6159	3347	4352	2469	4225	6020	1018	7448	5252	4517
Aspscr1	5277	3003	4231	2206	3898	4363	673	3686	2961	2621
Fbxl16	242	146	158	82	162	676	12	96	138	378
Nrf1	4062	2110	2189	1300	2500	4616	599	3372	2652	2796
Pwwp2a	2688	1253	1560	878	1758	2406	558	1697	1403	1453
Slco6d1	0	0	0	0	0	0	0	0	0	0
Iqcm	0	4	0	0	3	0	0	1	0	0
1700034J05Rik	21	4	6	0	0	2	0	2	2	6
Rnf41	4600	2652	2946	1838	3181	4215	614	3509	2226	2169
Prpsap2	1611	692	1023	472	1007	1701	406	1611	1285	1102
Tpm1	78100	41273	49032	29388	50508	74513	7773	48033	45764	49198
Xrra1	62	13	56	22	46	16	4	17	10	4
Fgfrl1	2490	1049	1337	911	1337	3466	366	1052	1142	1743
Plekhs1	331	379	360	294	364	136	24	200	385	47
Kalrn	3621	2066	2153	1443	2413	1202	226	1177	1199	219
Cpsf7	12073	5921	7064	3782	7508	14850	1998	9192	8686	10471
Mga	11038	4470	5637	2908	5954	4296	1850	6029	4815	4908
Prrg1	1046	182	208	112	199	59	182	496	548	6
Pramel34	0	0	0	0	0	0	0	0	0	0
Gm5415	0	0	0	0	4	2	0	0	0	4
Phf11c	52	33	27	18	48	14	0	13	5	1
Cuedc2	8490	3998	4740	2819	5269	9471	1321	5894	4743	6779
Gm4846	0	0	0	0	0	0	0	0	0	0
Loxl4	7537	4143	5558	2956	5589	3744	607	3334	3118	2591
Gm4847	0	4	24	0	4	12	4	8	2	10
Wars	17450	11187	13284	7974	14276	12259	4142	13156	10938	6905
Ccser1	28	23	4	2	6	6	0	36	6	0
Chadl	326	221	286	158	270	257	21	178	139	134
Trpm7	16432	6665	8684	4241	8632	7290	2369	8266	6531	7376
Phf11b	95	56	67	39	72	78	4	280	61	10
Marchf5	14832	5943	7466	4025	7849	13449	1952	9104	6820	8680
Efemp2	10677	4179	4919	3116	5405	9903	733	7022	4264	7053
Ska1	666	313	465	302	476	796	178	1204	621	681
Slc25a25	5793	4066	4707	2650	4937	3912	707	1986	856	1724
Erlin1	6054	2329	2373	1617	2768	4610	796	4363	3710	3352
Cep55	3609	1196	1634	803	1423	4261	392	4196	2405	3640
Nt5c2	9946	5384	6429	3615	6769	11454	1952	8442	6147	7898
Atp13a2	5113	3259	3789	2491	4167	6014	488	4290	2978	4145
Bcas1	1345	1068	1334	804	1060	546	389	2360	846	109
Mipol1	757	326	367	177	317	1045	107	512	548	926
Gm17455	0	4	6	6	1	0	0	5	0	0
Ctnna3	236	134	158	95	223	40	12	28	0	0
Ptpro	177	124	226	106	263	236	14	186	35	41
Sra1	6759	2931	4127	2094	4079	5985	1018	4754	3719	3845
Cnot4	3127	1298	1567	987	1734	3563	517	2306	1588	2495
Slc66a2	3055	1927	2382	1453	2603	3246	645	2478	1765	1761
Kcnk13	174	158	195	105	193	289	6	204	48	75
Mical1	4308	1088	1370	929	1494	5678	572	5628	4861	3955
Tmem212	94	63	63	55	77	245	25	139	171	104
Ankrd33b	1012	680	798	383	801	321	71	1185	26	42
Dpys	1122	825	1107	506	958	298	91	144	1	50
Nip7	5509	2659	2812	1718	3513	4662	1206	4179	3337	3690
Ifih1	1722	634	670	378	671	529	179	1414	963	400
Sipa1	7792	3233	3348	2403	4119	6893	762	4964	3727	6208
Fam170b	5	0	2	0	0	2	0	8	0	1
Ablim3	3404	2258	2581	1497	2977	845	222	646	292	73
Klhl29	176	99	143	101	90	29	8	136	21	2
Syn3	128	81	74	31	74	76	0	99	62	24
Tent4b	8869	3315	4053	2314	4396	7463	1286	4370	3437	5104
Akap11	7903	3385	4486	2204	4149	4287	918	5146	4297	4366
Rnf165	62	37	64	22	51	24	2	54	4	10
Iglon5	58	71	59	34	63	21	4	43	4	0
Serpinb9c	0	8	0	0	0	0	0	0	0	4
Tstd1	278	172	247	151	266	122	27	69	74	48
Mup11	2	0	6	0	2	0	0	0	0	0
Ildr2	3721	2668	3369	1945	3223	904	252	4393	2724	340
Zfyve27	8220	3538	4334	2542	4662	8548	1154	4089	3838	5705
Cpsf4l	218	101	123	88	110	68	23	47	24	20
Dap3	8800	4170	4946	2961	5129	8726	1362	8767	7424	5836
Pdzk1ip1	549	587	615	488	624	354	36	109	120	269
Trmt1	10008	5069	6881	3941	6677	9517	1506	6540	5826	6770
Exosc1	2841	1330	1521	885	1679	2692	629	2358	1807	2088
Sec22c	2226	958	1177	766	1252	2354	254	1481	1571	1791
Amigo2	984	683	871	532	1002	219	70	226	22	4
Egfl7	1918	1231	1648	1014	1759	816	187	1387	280	262
Acnat1	1032	741	941	540	995	322	259	322	129	102
Spats2l	1429	676	668	360	662	714	192	1715	1323	470
Vill	10059	5252	6192	4005	6232	12126	1427	10695	10888	7876
Snrk	6515	3713	4123	2499	4418	5879	579	4538	4111	3957
Myo1h	539	301	259	289	453	180	37	141	59	72
Kbtbd3	318	170	224	72	175	177	31	220	146	129
Zfp169	1017	613	695	425	663	968	197	695	586	535
Tsr2	1838	840	975	564	1196	1722	163	1204	1132	981
Mosmo	2430	1376	1740	775	1709	3139	371	1560	1071	1696
Zfp961	1902	672	847	517	892	1527	243	1238	889	974
Dnajc6	36	6	66	26	24	8	4	6	4	0
Pdzrn4	40	14	16	14	10	6	4	12	0	0
Zfp512b	6702	3865	4806	2867	4777	6192	884	3285	2696	2933
Irf2bp2	27117	10748	13430	8099	13357	29564	3241	16018	16371	20851
Puf60	15492	7210	8996	5624	10048	16655	2172	14214	12675	11706
Nsmce2	3592	1764	1872	1288	2175	4551	381	3406	3356	2875
Maf1	9145	4340	5489	3515	5755	12779	1187	9093	7963	7580
Smpd4	4562	2632	2983	1887	3004	5465	991	4487	2992	2809
Atp13a4	8	0	0	8	8	6	0	3	0	2
Ccdc159	314	143	93	82	192	176	36	98	140	99
Ccdc157	2205	846	1000	680	1148	2060	219	1389	1225	1168
Rnf14	10748	4625	6228	3552	6370	10063	1417	7462	4845	5695
Zfp809	2378	1460	1993	1025	1955	1285	283	1832	1300	1108
Cdpf1	713	397	486	307	572	659	123	764	594	445
Arhgap8	393	92	100	87	142	663	64	239	363	599
Pwwp3b	1407	320	492	219	402	702	44	388	559	503
Slc22a8	0	0	0	0	0	0	0	0	0	0
Endov	2090	1146	1544	847	1624	2779	297	1576	1737	1585
Slk	41351	16035	19983	10472	21671	24266	6226	23325	17799	25590
Apol7a	1429	706	1013	542	979	913	178	1444	605	380
Trappc9	4511	2627	3238	1921	3388	5709	567	3314	2582	2965
9530053A07Rik	472	163	297	189	307	260	32	184	132	194
Catsperg1	112	38	36	26	57	27	4	59	21	15
Trank1	0	3	4	0	0	0	0	0	0	0
Cyfip1	17162	8979	10674	6416	11617	24018	2476	15646	10520	13052
Soga1	13041	4640	5682	3392	5980	14972	1045	5624	3822	8292
Dnah6	43	43	34	28	51	10	4	79	4	2
Dnaja1	16643	4935	6115	3179	6609	17742	2037	11145	12330	16443
Zfp229	926	369	584	305	565	372	125	332	241	419
Pdcd6ip	22580	12743	15778	9057	15571	28864	3467	19642	15421	16433
Ano8	11453	3654	4536	2729	5482	19355	1198	8606	7433	20227
Ces3a	68	48	82	44	117	15	12	10	2	0
Mpp4	11	5	49	0	17	21	3	15	26	8
Tmem29	756	316	659	227	559	761	142	637	407	503
Gm6710	0	0	0	0	1	0	1	0	0	0
Klk6	0	10	0	0	0	4	0	0	0	0
Renbp	586	420	649	460	608	1878	42	702	218	842
Amer2	802	420	570	294	602	755	96	405	414	414
Hspb2	164	152	147	71	163	50	7	43	0	0
Syvn1	7345	3515	4528	2626	4909	8182	848	4472	3373	5363
Sh3pxd2a	18788	8669	10349	6412	11154	21860	2862	16277	12984	15330
Il33	7110	3415	4040	2387	4397	12397	1142	6493	1092	6823
Fcrl6	0	6	0	0	6	4	4	0	0	0
Gm10406	0	0	0	0	0	0	0	0	0	0
Tomm6	2858	1518	1682	870	1634	2469	378	1975	2596	2365
Mpp6	9378	4322	4868	2824	5209	9705	1742	6975	6160	8700
Crlf2	2111	1214	1484	1081	1625	1649	198	1390	651	1022
Fam47c	0	0	0	0	0	0	0	0	0	0
Serpina1f	0	0	0	0	0	0	0	0	0	0
Slc17a3	203	210	234	133	274	78	16	26	6	3
Ptp4a2	28361	13972	16761	9609	17563	32045	4451	21442	15613	19301
Rarres1	668	392	564	352	542	134	25	138	23	4
Robo3	19	5	10	6	12	2	2	8	0	0
Fbxw2	8153	3811	4596	2605	4747	7439	1043	4348	2536	3527
Adamts20	82	64	92	48	112	23	2	19	2	0
Sprr2a2	0	0	0	0	0	0	0	0	0	0
Eomes	36	44	18	29	60	722	37	213	305	657
Scg3	12	2	24	4	6	4	2	84	12	0
Map3k20	5480	2590	3453	1887	3324	4319	562	2426	1951	2090
Tpbg	2401	1217	1352	892	1551	5730	429	1788	2092	3126
Polr2m	16043	6998	7995	5037	8483	17849	2558	12942	11948	11548
Hephl1	2	4	0	8	16	4	0	4	2	2
Slc38a10	17602	9942	11634	7234	12452	23844	3133	18233	14027	14559
Coro2a	6858	4749	5574	3531	5546	4824	1027	8061	5870	3885
Thsd7a	1957	1207	1622	868	1744	785	116	427	540	442
Bend4	274	164	182	73	211	122	18	250	29	14
Pet117	2	4	0	0	4	3	0	5	0	1
Aar2	3047	1830	2174	1346	1990	3530	364	2332	1436	1589
Slc52a3	975	734	746	647	876	596	136	993	1091	432
Tmem42	395	214	251	201	320	442	31	271	282	250
Zfyve19	2556	1442	1839	1096	1648	2522	438	1901	1123	1091
Aste1	829	341	553	176	466	681	99	495	433	424
P2rx2	24	9	20	12	34	22	0	9	4	9
Lrrfip2	5693	2916	3413	2132	3419	5248	689	3812	3449	4103
Lpin2	14796	9096	11565	5985	10817	12091	1365	5504	3673	5682
Mia2	23607	11234	14865	7496	14706	14434	3684	14094	12850	11178
Dcaf4	1472	747	1003	576	994	1581	303	1269	1159	888
Prr3	1503	820	1117	536	880	1817	233	1027	980	1130
Akt1	35438	20357	24033	15341	25510	39509	6240	33224	26982	28356
Ctnnb1	140471	58399	67735	42229	78801	167407	18545	119192	120628	95994
Majin	12	8	38	16	18	5	0	9	13	10
Cldn14	275	181	356	146	310	80	31	28	0	0
Ccdc78	121	40	56	31	84	33	3	38	15	26
Glt8d1	2887	1091	1574	816	1619	3128	265	1989	1527	1764
Rgs9	131	74	136	27	111	40	11	52	39	7
Aven	1720	673	864	458	963	1575	280	1358	1031	1373
Tshb	7	8	6	0	6	4	6	2	5	2
Nsun6	1426	729	646	350	794	788	208	697	449	455
Olfr819	0	0	0	0	0	0	0	0	0	0
Pogz	8594	3595	4209	2433	4372	8074	1144	5131	6016	4827
Pias3	4804	2590	2978	1927	3324	3059	469	2999	2225	1491
Trim45	1854	373	474	232	520	773	128	668	695	461
Phc3	9448	3654	4619	2512	5033	5723	908	4946	5000	3703
Nme9	0	0	0	0	0	0	0	0	0	0
Fndc7	18	4	0	2	12	35	0	13	8	10
Pglyrp4	2	2	0	2	0	0	0	6	0	2
Hnrnpa1l2-ps2	25	5	0	1	0	19	4	17	22	23
Dcaf17	2079	936	1291	663	1464	1802	516	1220	1051	1085
Ubap2l	34832	12457	14893	9485	15829	31125	4034	22653	19889	18112
Ckap5	14707	5938	7364	4105	7879	8609	1913	10112	8601	9938
Arfrp1	3022	1337	1964	1118	1899	2572	336	1987	1673	1288
Spopl	2118	1054	1115	702	1231	2126	363	1352	861	1669
Lingo2	91	27	72	10	50	514	2	2	0	475
Tmem215	10	14	6	14	4	6	2	54	0	0
Arfgap2	2737	1598	1720	1162	2150	2821	347	2228	1597	1508
Skint11	8	0	0	0	0	0	0	0	0	0
Slfn14	0	0	10	0	0	0	0	0	2	0
Cfap74	34	32	20	42	30	17	2	60	4	10
Mrps2	3301	1649	1996	1057	2118	3306	447	1632	1014	1340
Gtf3c4	9127	3325	4292	2368	4186	8869	1400	4612	3111	4953
Gm16381	0	0	0	0	0	0	0	0	0	0
Ccdc152	146	94	138	53	112	78	14	119	126	24
Syde2	456	324	421	295	428	247	41	297	107	108
Gcnt4	1667	918	1037	674	1100	3862	189	1616	1739	2233
Mroh2b	0	0	0	0	0	0	0	0	0	0
Slc4a5	10	8	16	0	8	9	2	11	0	3
Armc8	3034	1498	1993	1174	2151	3884	385	2563	2137	2380
Krt81	0	0	0	0	1	0	0	1	0	0
Ccdc74a	250	124	129	89	224	148	25	134	94	138
Lce6a	28	0	6	0	4	2	0	1	0	1
Dmkn	128	138	90	75	134	44	140	124	18	8
Arsg	1291	843	1017	583	1037	1141	140	637	439	445
Erv3	6	0	0	0	2	0	0	4	0	0
Dpy19l2	0	0	0	0	0	0	0	0	0	0
Myh15	13	0	0	0	0	0	0	0	2	0
Niban3	471	235	318	132	286	328	61	211	209	338
Zfp712	232	49	110	24	105	174	38	204	273	230
Mgll	1914	1440	1482	1014	1741	807	136	1096	122	334
Cspg5	20	4	8	6	20	22	8	14	11	36
Ccdc33	0	24	0	26	18	20	2	10	98	6
Serpina11	2769	2209	2563	1386	2428	680	197	363	0	0
6030458C11Rik	3115	1463	1690	1087	1835	2480	430	2046	1723	1343
Fgf8	0	10	0	0	4	2	0	0	0	0
Fam219b	1554	709	903	571	973	2085	160	1341	1373	1109
Fam122b	807	343	391	253	568	587	87	485	448	329
Fkbp2	10	4	11	1	7	6	0	4	10	4
Trmt112	4133	2202	2639	1785	2955	5129	762	3911	4174	4368
Zfp638	9631	3075	4107	1947	4270	3704	1984	6783	5309	7289
Marchf1	608	480	475	242	700	416	53	1037	169	183
Ms4a6c	1917	1280	1774	995	1820	1807	151	3348	464	613
Armcx1	308	168	172	101	177	384	10	458	402	133
Rad52	1607	637	790	410	981	2077	373	1242	847	1116
Rbmy	0	0	0	0	0	0	0	0	0	0
Sp4	1800	896	1204	544	1249	1404	409	1131	1332	1038
Ptp4a3	4913	3271	4224	2333	3979	2514	534	2505	1471	1181
F13a1	5105	3641	4382	2510	4798	10501	888	10320	2330	3338
4931428F04Rik	1035	496	624	416	689	1384	173	976	810	1166
Armcx2	454	286	460	288	424	192	44	756	92	38
Rab3a	863	531	472	367	568	623	97	399	243	187
Tnfaip3	7544	3911	4641	2856	4947	11498	1215	10472	8123	4064
Kif20a	5542	2493	3056	1970	3425	7509	1059	7555	4507	5215
Rai14	17787	7827	9370	5007	9395	29164	1951	18216	13443	15337
Rbm3	28231	16657	20820	12250	21031	31675	4102	20869	18343	23102
Arhgef25	2048	722	605	479	831	674	96	944	675	521
Rfx3	1911	450	591	323	598	853	230	1037	1025	858
Med23	3703	1729	2096	1360	2217	3643	647	3244	2362	1988
Hnrnpf	25115	9811	11032	6963	12530	28317	5055	21319	17246	23049
Tbc1d25	1708	969	1178	754	1181	1658	237	981	746	968
Slc25a14	765	325	319	221	406	657	76	438	412	495
Pls3	38970	16625	19946	10802	22375	51250	5577	27239	25600	36627
Slc38a1	2016	951	965	726	1054	499	66	1242	154	84
Brcc3	3336	1846	2156	1011	1919	2013	532	2080	1886	2111
Spock1	4	0	0	0	0	4	0	2	4	0
Vmac	1102	735	803	504	911	1418	103	893	708	565
4930407I10Rik	0	0	0	0	0	0	0	0	0	0
Hmga1b	0	0	0	0	0	0	0	0	0	0
Ssr4	8010	4686	5960	3394	5972	6781	868	5487	4042	4171
Mthfsd	2677	1513	1639	1101	1933	1914	376	1464	1385	1417
Rasgrp3	1074	463	513	252	702	694	52	574	297	688
Zpbp2	8	10	4	0	2	0	0	8	2	0
Zfp983	485	306	347	178	369	360	46	310	175	221
Dennd1b	3766	1845	2807	1220	2634	3996	662	3741	3568	2915
Slc39a11	3019	2043	2261	1553	2364	2471	456	2710	1841	1391
Sec14l1	9750	5554	6908	4309	7660	7992	1487	6854	5300	4952
Sfmbt1	1653	871	1148	680	1185	2101	214	1519	1129	1343
Eif4enif1	7572	3978	4937	2717	5121	8255	1365	6052	3870	4525
Zbed6	8782	4006	4827	2349	4934	6142	1352	7216	6756	5433
Rnf145	7322	3025	4164	2522	4554	11674	1518	6086	4010	7732
Abca6	4485	3283	4179	2115	4050	997	339	738	20	10
Depp1	3420	2706	3173	1887	2907	1092	373	1860	3021	158
Thoc2l	3678	1608	2073	1049	2206	1445	532	1872	1680	1702
Tead1	15367	6612	8524	4342	8430	17403	1933	9558	11109	11055
Eif5a	73401	34305	42111	25392	46021	73888	13117	71669	60942	63622
Dgkz	13129	6786	8647	5146	9019	14071	2274	10872	7194	7232
Gm16430	0	0	0	0	0	0	0	0	0	0
Fmr1nb	14	0	4	4	2	4	2	4	0	0
Rbmx	3953	1545	2170	1205	2096	3532	404	4094	2870	2397
Ccr9	8	34	10	16	19	23	8	69	12	6
Dynlt1f	742	366	345	286	347	839	148	786	419	424
Dynlt1a	300	104	72	19	111	489	27	563	245	238
Dynlt1c	64	65	68	21	49	70	8	49	23	20
Havcr1	2	0	0	0	0	0	0	2	0	0
Large2	180	204	255	177	247	144	46	112	113	52
Gm4302	0	0	0	0	0	0	0	0	0	0
Mid1ip1	8944	5398	6814	4056	6830	8708	1166	4308	4222	6915
Gm4312	0	0	0	0	0	0	0	0	0	0
Gm4301	0	0	0	0	0	0	0	0	0	0
Gm4303	0	0	0	0	0	0	0	0	0	0
Gm4305	0	0	0	0	0	0	0	0	0	0
Kat14	5595	2520	3075	1829	3368	4907	659	4026	2833	2930
Gm4307	0	0	0	0	0	0	0	0	0	0
Bcas3	2418	1205	1675	1017	1834	2515	316	1360	927	1022
Zfp651	2695	1459	1825	1198	1904	2465	170	1213	920	1463
Zfp882	471	164	163	106	208	347	61	404	361	211
Gm16405	0	0	0	0	0	0	0	0	0	0
Zfp280c	3142	1529	2006	999	2122	2761	533	2028	1413	1654
Klhl33	312	157	209	156	161	118	30	118	17	16
Cdkl3	574	262	393	159	347	385	88	259	317	231
Cdr1	0	0	0	0	0	0	0	0	0	0
Ccdc85a	138	104	124	78	188	70	18	108	12	0
Gemin5	4329	2094	2619	1519	2843	5224	1223	5004	3007	3057
Gm14548	0	0	0	0	0	0	0	0	0	0
Cep95	1549	545	654	423	793	1046	224	901	785	829
Cfap77	11	2	8	10	4	17	2	6	15	10
Vmn1r55	0	0	0	0	0	0	0	0	0	0
Vmn1r123	0	0	0	0	0	0	0	0	0	0
Vmn1r119	0	0	0	0	0	0	0	0	0	0
Vmn1r207	0	0	0	0	0	0	0	0	0	0
Vmn1r7	0	0	0	0	0	0	0	0	0	0
Vmn1r249	0	0	0	0	0	0	0	0	0	0
Vmn1r151	0	0	0	0	0	0	0	0	0	0
Vmn1r244	0	0	0	0	0	0	0	0	0	0
Vmn1r122	0	0	0	0	0	0	0	0	0	0
Vmn1r120	0	0	0	0	0	0	0	0	0	0
Vmn1r113	0	0	0	0	0	0	0	0	0	0
Vmn1r173	0	0	0	0	0	0	0	0	0	0
Vmn1r34	0	0	0	0	0	0	0	0	0	0
Vmn1r39	0	0	0	0	0	0	0	0	0	0
Vmn1r176	0	0	0	0	0	0	0	0	0	0
Vmn1r170	0	0	0	0	0	0	0	0	0	0
Vmn1r94	0	0	0	0	0	0	0	0	0	0
Vmn1r160	0	0	0	0	0	0	0	0	0	0
Vmn1r129	0	0	0	0	0	0	0	0	0	0
Vmn1r127	0	0	0	0	0	0	0	0	0	0
Vmn1r175	0	0	0	0	0	0	0	0	0	0
Vmn1r1	0	0	0	0	0	0	0	0	0	0
Vmn1r31	0	0	0	0	0	0	0	0	0	0
Vmn1r77	0	0	0	0	0	0	0	0	0	0
Vmn1r60	0	0	0	0	0	0	0	0	0	0
Vmn1r61	0	0	0	0	0	0	0	0	0	0
Vmn1r57	0	0	0	0	0	0	0	0	0	0
Vmn1r224	0	0	0	0	0	0	0	0	0	0
Vmn1r91	0	0	0	0	0	0	0	0	0	0
Vmn1r103	0	0	0	0	0	0	0	0	0	0
Vmn1r104	0	0	0	0	0	0	0	0	0	0
Vmn1r128	0	0	0	0	0	0	0	0	0	0
Vmn1r125	0	0	0	0	0	0	0	0	0	0
Vmn1r121	0	0	0	0	0	0	0	0	0	0
Vmn1r118	0	0	0	0	0	0	0	0	0	0
Vmn1r117	0	0	0	0	0	0	0	0	0	0
Vmn1r116	0	0	0	0	0	0	0	0	0	0
Vmn1r115	0	0	0	0	0	0	0	0	0	0
Vmn1r111	0	0	0	0	0	0	0	0	0	0
Vmn1r135	0	0	0	0	0	0	0	0	0	0
Vmn1r139	0	0	0	0	0	0	0	0	0	0
Vmn1r142	0	0	0	0	0	0	0	0	0	0
Vmn1r143	0	0	0	0	0	0	0	0	0	0
Vmn1r254	0	0	0	0	0	0	0	0	0	0
Vmn1r152	0	0	0	0	0	0	0	0	0	0
Vmn1r155	0	0	0	0	0	0	0	0	0	0
Vmn1r157	0	0	0	0	0	0	0	0	0	0
Vmn1r163	0	0	0	0	0	0	0	0	0	0
Vmn1r260	0	0	0	0	0	0	0	0	0	0
Vmn1r124	0	0	0	0	0	0	0	0	0	0
Vmn1r159	0	0	0	0	0	0	0	0	0	0
Vmn1r107	0	0	0	0	0	0	0	0	0	0
Vmn1r79	0	0	1	0	0	0	0	0	0	0
Vmn1r101	0	0	0	0	0	0	0	0	0	0
Vmn1r114	0	0	0	0	0	0	0	0	0	0
Vmn1r126	0	0	0	0	0	0	0	0	0	0
Vmn1r131	0	0	0	0	0	0	0	0	0	0
Vmn1r149	0	0	0	0	0	0	0	0	0	0
Vmn1r158	0	0	0	0	0	4	0	0	0	0
Vmn1r168	0	0	0	0	0	0	0	0	0	0
Vmn1r169	0	0	0	0	0	0	0	0	0	0
Vmn1r100	0	0	0	0	0	0	0	0	0	0
Vmn1r112	0	0	0	0	0	0	0	0	0	0
Vmn1r130	0	0	0	0	0	0	0	0	0	0
Vmn1r137	0	0	0	0	0	0	0	0	0	0
Vmn1r165	0	0	0	0	0	0	0	0	0	0
Vmn1r245	0	0	0	0	0	0	0	0	0	0
Vmn1r255	0	0	0	0	0	0	0	0	0	0
Vmn1r240	0	0	0	0	0	0	0	0	0	0
Gm16451	0	0	0	0	0	0	0	0	0	0
Vmn1r252	0	0	0	0	0	0	0	0	0	0
Vmn1r242	0	0	0	0	0	0	0	0	0	0
Vmn1r251	0	0	0	0	0	0	0	0	0	0
Vmn1r241	0	0	0	0	0	0	0	0	0	0
Vmn1r257	0	0	0	0	0	0	0	0	0	0
Vmn1r243	0	0	0	0	0	0	0	0	0	0
Vmn1r253	0	0	0	0	0	0	0	0	0	0
Gm10665	0	0	0	0	0	0	0	0	0	0
Gm10670	0	0	0	0	0	0	0	0	0	0
Vmn1r256	0	0	0	0	0	0	0	0	0	0
Vmn1r246	0	0	0	0	0	0	0	0	0	0
Vmn1r258	0	0	0	0	0	0	0	0	0	0
Vmn1r247	0	0	0	0	0	0	0	0	0	0
Vmn1r259	0	0	0	0	0	0	0	0	0	0
Vmn1r248	0	0	0	0	0	0	0	0	0	0
Vmn1r166	0	0	0	0	0	0	0	0	0	0
Vmn1r138	0	0	0	0	0	0	0	0	0	0
Vmn1r2	0	0	0	0	0	0	0	0	0	0
Vmn1r3	0	4	0	0	0	0	0	0	0	0
Vmn1r86	0	0	0	0	0	0	0	0	0	0
Vmn1r88	0	0	0	0	0	0	0	0	0	0
Vmn1r95	0	0	0	0	0	0	0	0	0	0
Vmn1r238	0	0	0	0	0	0	0	0	0	0
Vmn1r184	0	0	0	0	0	0	0	0	0	0
Vmn1r196	0	0	0	0	0	0	0	0	0	0
Vmn1r221	0	0	0	0	0	0	0	0	0	0
Vmn1r186	0	0	0	0	0	0	0	0	0	0
Vmn1r187	0	0	0	0	0	0	0	0	0	0
Vmn1r250	0	0	0	0	0	0	0	0	0	0
Tcp10c	2	0	0	0	8	0	2	0	0	0
Pate8	0	0	0	0	0	0	0	0	0	0
Pate12	0	0	0	0	0	0	0	0	0	0
Gm5916	0	0	0	0	0	0	0	0	0	0
Pate10	0	0	0	0	0	0	0	0	0	0
Pate3	2	0	0	0	0	1	0	0	0	0
Spata31d1b	0	2	0	4	0	0	0	11	0	0
Spag7	5496	2539	3182	1729	3178	4876	737	3466	2719	2817
Pate7	0	0	0	0	0	0	0	0	0	0
Rhbdf2	5340	3697	4457	2549	4274	8307	1033	4700	3937	5331
Sirt4	794	549	595	324	649	720	120	491	432	535
Gpr19	436	211	307	170	224	336	121	355	325	196
Serpina3a	16	9	9	1	3	3	0	0	0	0
Rad18	1720	976	892	579	1115	2838	533	2014	1422	1811
Chchd6	944	404	635	367	556	703	160	848	598	555
Slfn8	269	198	239	118	199	209	28	670	252	106
Wasl	17597	6699	8434	4965	8658	29697	2898	10083	8055	19598
Dnah17	283	179	190	87	235	237	47	145	106	156
Egfem1	58	29	38	30	82	8	2	10	0	0
Vps50	5095	1794	1966	1137	2500	4440	950	3788	2904	4263
Ankrd7	6	8	0	0	7	2	2	0	4	8
Ift122	2701	1185	1493	953	1628	1967	430	1533	1518	1688
Ldah	3816	1870	2263	1299	2537	4911	867	4457	2988	2705
