Genes	neg1	neg2	neg3	neg4	pos_1	pos_2	pos_3	control_1	control_2
RP24-179K8.4	0	0	0	0	0	0	0	1	0
RP23-145A18.6	0	0	0	0	0	0	0	0	0
RP23-145A18.5	0	0	0	0	0	0	0	0	0
Gm24472	0	0	0	0	0	0	0	0	0
Kirrel	28	21	15	28	191	156	51	160	180
RP23-145A18.2	0	0	0	0	0	0	0	0	0
RP23-145A18.7	383	344	242	350	554	418	542	372	452
Fcrls	2	2	0	2	32	67	7	77	321
Cd5l	1427	858	660	1574	107	135	17973	139	277
Fcrl1	9	2	3	3	66	25	158	115	387
Fcrl5	1	0	0	0	58	26	110	78	178
Etv3	335	271	269	253	421	340	497	246	308
Etv3l	8	5	4	3	9	8	9	0	3
Gm25167	0	0	0	0	0	0	0	0	0
Gm24109	0	0	0	0	0	0	0	0	0
Arhgef11	894	688	631	548	943	819	727	201	254
Lrrc71	1	7	0	1	3	3	0	10	5
Pear1	120	109	122	120	449	370	156	268	349
Ntrk1	28	12	16	7	17	12	3	1	72
Insrr	0	0	0	0	341	332	11	8	28
Sh2d2a	5	4	3	2	43	42	142	41	247
Prcc	386	331	306	264	525	431	319	550	713
Hdgf	3116	2825	2570	2785	4250	3432	2912	5275	4190
Mrpl24	1387	1347	1628	1178	1989	1727	1079	1412	2098
Rrnad1	267	299	346	267	504	396	259	228	231
Isg20l2	332	345	292	264	403	385	416	288	224
Crabp2	0	0	0	0	20	1	0	13	17
RP23-240E15.2	0	6	2	0	0	1	0	1	5
Nes	65	42	19	31	456	339	70	354	476
Bcan	0	0	0	0	1	0	0	1	7
Hapln2	0	0	0	0	0	0	0	0	0
RP23-240E15.3	0	0	0	1	4	13	8	2	3
Gpatch4	178	261	163	219	309	267	270	390	473
Apoa1bp	989	927	936	809	1472	1237	885	648	1169
Ttc24	0	0	0	0	0	0	0	0	0
Iqgap3	1	7	2	15	30	30	115	72	32
Mef2d	535	747	519	607	676	632	665	1267	1076
RP23-68H24.4	62	51	48	37	124	92	25	22	30
RP23-168E14.5	0	0	0	0	0	0	0	0	0
RP23-168E14.4	0	0	1	0	0	0	1	1	2
RP23-168E14.7	0	0	0	0	0	0	0	0	0
Mir3093	0	0	0	0	0	0	0	0	0
Gm25641	0	0	0	0	0	0	0	0	0
Mir9-1	0	0	0	0	0	0	0	0	0
Rhbg	19	22	33	9	92	80	29	5	12
RP23-168E14.9	0	0	0	0	1	1	0	1	0
Tsacc	26	24	26	24	39	28	20	18	49
RP23-168E14.10	6	6	3	8	9	12	4	5	12
Cct3	1937	2485	1793	2518	3138	2363	2318	2323	3049
Glmp	1237	1144	1079	1132	2987	2373	1735	527	1470
Tmem79	62	81	66	60	117	61	40	46	129
Smg5	745	734	663	705	1243	923	736	669	732
Paqr6	2	2	0	2	15	12	0	9	31
Bglap3	2	8	5	5	99	88	15	11	3
RP24-298F19.1	0	0	0	1	0	1	0	0	1
Bglap2	0	0	2	0	8	1	0	363	15
RP24-298F19.2	0	0	0	0	0	2	0	0	5
Bglap	0	0	0	0	2	0	0	427	12
Pmf1	223	202	224	168	252	174	342	335	469
Slc25a44	1111	1560	895	1585	857	688	995	387	475
RP24-298F19.6	2	12	8	6	20	12	10	6	23
Sema4a	1197	906	1020	898	1213	1168	1184	563	714
Mir7011	0	0	0	0	0	0	0	0	0
RP24-298F19.5	0	0	0	0	0	0	0	0	0
Lmna	742	614	691	448	847	663	908	1061	1407
RP23-398K14.4	2	0	0	0	12	4	2	7	6
Mex3a	0	4	1	0	23	35	8	20	11
Mir1905	0	0	0	0	2	1	0	0	0
Rab25	4	2	1	2	440	251	2	45	50
Lamtor2	783	708	848	595	1141	895	716	1063	1168
Ubqln4	804	882	498	702	867	666	565	935	780
Ssr2	1788	1389	1197	1278	1722	1305	1744	1000	1616
RP23-398K14.7	214	204	229	199	347	327	288	470	596
Arhgef2	67	58	45	58	993	816	729	649	701
RP23-398K14.3	0	0	0	0	1	1	0	1	0
Rxfp4	0	0	0	0	0	0	0	0	0
RP23-199B2.8	4	7	10	4	3	1	2	0	3
2810403A07Rik	943	1353	1016	1240	1698	1512	1182	749	677
Gm25820	2	1	0	1	2	1	0	0	0
Gm25945	6	2	2	1	2	0	5	1	0
Rit1	206	178	231	186	507	389	445	577	719
RP23-199B2.2	2	4	2	0	1	1	1	1	0
RP23-199B2.5	0	0	1	0	0	0	0	0	0
Syt11	63	116	70	90	311	215	134	152	282
AC134246.2	845	785	566	718	1223	790	576	321	354
RP23-199B2.4	7	7	8	8	29	21	18	13	29
Gon4l	738	792	589	639	1148	780	579	477	573
RP23-51N3.3	0	1	0	0	2	1	1	0	0
Gm23054	0	0	0	0	0	0	0	0	0
Msto1	131	91	130	83	348	245	209	160	203
n-R5s197	1	1	4	2	1	2	0	0	0
Dap3	805	603	828	529	1381	1079	734	1163	1424
Ash1l	877	851	535	794	1380	968	650	384	324
Gm26465	1	1	3	0	1	0	1	1	1
Gm24403	0	0	0	0	0	0	0	0	0
RP24-394C15.7	0	0	0	0	0	0	0	0	0
Rusc1	73	80	67	58	126	90	71	134	221
Fdps	459	294	612	243	52	45	517	50	84
Gm22935	7	3	6	2	2	0	1	0	0
RP24-394C15.4	0	0	0	0	1	0	0	0	0
Pklr	2626	3728	3486	3628	463	363	1411	92	0
Hcn3	9	10	5	2	20	19	1	3	5
Clk2	375	423	566	356	590	528	450	438	484
Scamp3	904	975	889	851	1089	750	846	503	904
AC161600.4	1	0	1	0	0	0	4	2	12
Fam189b	21	21	24	15	72	82	51	177	314
Gm23269	0	0	0	0	0	0	0	0	0
Gba	593	510	414	553	1058	852	1299	450	1242
Mtx1	712	592	727	529	1027	827	560	407	691
RP23-350K3.2	58	54	37	56	82	77	62	21	42
Thbs3	13	14	7	7	90	60	24	64	134
Mir92b	0	0	0	0	0	0	0	0	0
Muc1	7	6	26	18	1266	330	30	23	19
Trim46	4	0	3	6	40	39	16	10	33
Krtcap2	1027	1041	1030	963	1098	772	1080	711	1463
Dpm3	375	340	347	328	446	290	244	193	362
Slc50a1	200	124	187	117	561	415	344	375	1021
Efna1	759	354	244	289	393	319	638	115	180
Gm22642	0	0	0	0	0	1	0	0	0
Efna3	0	0	0	0	14	6	0	3	3
AC132327.8	198	33	139	60	1	3	260	0	1
Efna4	2	0	1	0	55	37	0	16	16
RP23-137J12.1	0	0	0	0	1	2	0	0	0
Adam15	70	55	59	45	1112	839	222	703	1373
Dcst1	0	0	0	0	117	81	4	42	63
Gm10702	0	0	0	0	5	4	1	1	4
Dcst2	0	1	0	0	7	6	0	15	52
Zbtb7b	1618	1556	1071	1406	699	594	1008	374	546
AC171273.3	181	142	158	115	121	117	70	369	424
Lenep	0	0	0	0	0	1	0	0	0
Flad1	826	736	865	753	608	535	567	357	687
Cks1b	153	60	76	43	73	58	231	526	304
Shc1	1251	943	901	895	855	752	1153	481	617
Pygo2	340	331	311	254	425	372	351	485	495
Pbxip1	275	176	234	128	1218	1128	463	2291	2235
Pmvk	651	358	571	387	339	278	944	375	807
Kcnn3	2	0	0	0	33	25	3	28	15
Adar	491	477	503	384	695	586	978	332	552
Chrnb2	73	50	52	54	84	62	71	12	30
RP24-122I22.2	119	114	125	131	388	361	148	81	75
Ube2q1	698	606	694	557	1315	1055	1154	664	751
RP24-122I22.4	0	1	0	0	0	0	0	0	0
She	67	44	63	63	112	155	115	127	143
Il6ra	611	817	526	600	145	126	843	338	331
RP24-122I22.6	0	0	1	0	1	0	0	0	3
Atp8b2	26	37	23	25	182	167	176	182	285
Aqp10-ps	0	0	0	0	0	0	0	0	0
Gm24046	0	0	0	0	0	0	0	0	0
Hax1	1235	1332	1090	1251	2052	1629	1097	651	913
RP23-114P22.5	1	3	3	2	8	5	4	2	4
Ubap2l	1197	1116	871	991	2020	1594	1733	631	848
Gm24608	0	2	3	1	1	1	0	0	0
Mir7669	0	2	1	0	1	0	1	0	0
AC163616.2	726	705	822	676	1926	1480	890	1573	1981
AC163616.3	0	1	1	0	1	0	1	0	0
Mir190b	0	0	0	0	0	0	0	0	0
Tpm3	1443	972	1162	963	3591	2613	4419	7380	3523
Nup210l	0	1	1	2	16	12	24	20	14
Gm23723	0	0	0	0	0	0	1	1	0
RP24-257C17.2	156	167	198	137	246	189	225	488	581
Gm24185	0	0	0	0	0	0	0	0	0
Rps27	3260	2980	3323	2538	6771	4736	4281	8748	17836
Rab13	112	90	120	83	162	151	146	211	315
Jtb	924	973	1029	874	1423	1130	804	1756	1771
Creb3l4	3	4	6	4	16	21	14	2	18
Slc39a1	1774	1335	1277	1344	1706	1384	2658	899	1175
Crtc2	694	586	696	467	676	555	634	380	406
Dennd4b	157	151	225	125	235	165	541	885	737
Mir7012	0	0	0	0	0	0	0	0	0
RP23-358O22.1	0	0	0	0	1	0	0	0	1
Gatad2b	495	418	345	290	788	670	600	524	492
RP24-333B11.4	4	7	6	1	2	1	2	1	1
RP24-333B11.5	1	1	0	0	2	0	0	0	0
Slc27a3	13	27	16	13	72	69	37	35	38
Ints3	595	706	383	523	592	514	503	352	538
Npr1	246	185	185	149	481	452	140	246	660
AC145082.2	1	0	0	1	0	0	0	4	1
RP24-333B11.3	0	0	0	0	0	0	0	0	0
Ilf2	363	328	356	338	1019	833	552	868	1001
Snapin	400	324	475	261	894	675	651	933	989
Chtop	1129	1089	1023	961	1623	1370	1327	1747	1770
S100a1	2169	1907	1960	1516	3710	2954	1757	2198	4141
S100a13	425	253	385	258	425	362	377	599	1421
S100a14	3	0	1	0	35	7	0	85	12
S100a16	443	309	387	306	968	746	300	900	1390
Gm24593	0	0	0	0	0	0	0	0	0
Gm23464	0	0	0	0	0	0	0	0	0
S100a3	0	0	1	0	0	0	0	137	4
S100a2	0	0	0	0	0	0	1	2	0
RP23-326D6.5	0	0	0	0	0	0	0	0	0
S100a4	0	0	1	0	36	41	66	178	220
S100a5	0	0	0	0	4	0	0	0	6
S100a6	23	19	30	12	1783	719	516	3517	6286
RP24-174D10.3	5	4	5	1	9	4	22	7	24
S100a7a	0	1	0	2	5	3	0	2	7
S100a8	15	3	4	5	43	71	1822	22511	330
S100a9	50	9	7	24	48	119	2610	35002	476
RP24-174D10.4	0	0	0	0	0	0	0	0	0
RP24-174D10.5	0	0	0	0	1	0	1	0	0
Pglyrp4	0	0	0	0	0	0	0	3	0
RP24-174D10.6	36	37	12	34	52	27	30	8	3
Gm5849	0	0	0	0	0	0	0	1	0
RP23-111A11.1	0	0	0	0	0	0	0	2	0
RP23-309N14.1	0	0	1	0	0	0	0	0	0
RP24-296O9.1	0	0	0	0	0	0	0	0	0
AC127257.1	14	15	3	21	42	28	23	9	4
RP24-296O9.2	0	0	0	0	0	0	0	0	0
Gm23697	0	0	0	0	0	0	0	0	0
Pglyrp3	0	0	0	0	0	0	0	0	0
Mif-ps3	10	7	6	5	20	9	13	7	5
Gm25145	0	0	0	0	0	0	0	0	0
Lor	3	7	8	5	0	3	3	93	1
RP23-381I16.5	0	0	0	0	0	0	0	0	0
RP23-381I16.3	0	0	0	0	0	0	0	0	0
RP23-381I16.4	0	0	0	0	0	0	0	0	0
Prr9	0	0	0	0	0	0	0	21	0
Lelp1	0	0	0	0	0	0	0	0	0
RP23-381I16.6	0	0	1	0	1	0	0	0	0
Sprr2a1	2	2	0	2	1332	139	3	98	1559
Sprr2a2	2	2	0	2	1387	146	3	101	1601
RP23-36C9.2	74	61	78	57	193	118	186	119	317
RP24-574O8.9	0	0	0	0	0	0	0	0	0
RP24-574O8.7	74	61	78	57	193	118	186	119	317
RP24-574O8.8	0	0	0	0	0	0	0	0	0
Sprr2a3	1	2	0	0	301	32	0	21	336
Sprr2b	1	0	2	2	11	0	1	0	8
RP23-36C9.1	0	0	0	0	0	0	0	0	0
Sprr2c-ps	0	0	0	0	0	0	0	0	0
Sprr2d	0	0	0	0	0	0	0	0	0
Sprr2e	0	0	0	0	0	0	0	0	0
Sprr2f	0	0	0	0	4	0	0	0	8
Sprr2g	0	0	0	0	4	2	0	1	0
Sprr2h	0	0	0	0	0	0	0	0	0
Sprr2i	0	0	0	0	0	0	0	0	0
Sprr2j-ps	0	0	0	0	0	0	0	0	0
RP23-39I4.9	608	584	565	473	509	355	454	440	650
Sprr2k	0	0	0	0	0	0	0	0	0
Sprr1b	0	0	0	0	0	0	0	0	0
Sprr3	0	0	0	0	0	0	0	0	0
RP23-39I4.11	0	0	0	0	0	0	0	0	0
Sprr1a	0	0	0	0	543	112	23	35	863
Sprr4	0	0	0	0	0	0	0	1	0
RP24-157G15.1	0	0	0	0	0	0	0	13	0
Ivl	0	0	0	0	41	10	0	14	66
Smcp	0	0	0	0	78	59	0	3	0
RP24-157G15.4	0	0	0	0	0	0	1	2	0
Lce6a	1	0	0	1	0	0	1	3	0
Lce1a1	0	0	0	0	0	0	0	52	0
Lce1b	0	0	0	0	0	0	0	27	0
Rpl13-ps4	0	0	0	0	0	0	0	0	0
Lce1a2	0	0	0	0	0	0	0	26	0
Lce1c	0	0	0	0	0	0	0	40	0
Lce1d	0	0	0	0	0	0	0	19	0
RP24-496A9.6	363	329	184	369	1511	1010	883	333	187
Lce1e	0	0	0	0	0	0	0	7	0
Lce1f	0	0	0	0	0	0	0	9	0
RP24-435G16.5	0	0	0	0	0	0	0	1	0
Lce1g	0	0	0	0	0	0	0	2	0
Lce1h	0	0	0	0	0	0	0	4	0
Lce1i	0	0	0	0	0	0	0	6	0
Lce1j	0	0	0	0	0	0	0	11	0
Lce1k	0	0	0	0	0	0	0	8	0
Kprp	0	0	0	0	0	0	0	36	0
RP24-435G16.7	0	0	0	0	0	0	0	0	0
Lce1l	0	0	0	0	0	0	0	16	0
RP24-341I21.3	0	0	0	0	0	0	0	39	0
Lce3a	0	0	0	0	0	0	0	0	0
Lce3b	0	0	0	0	0	0	0	0	0
RP24-341I21.6	0	0	0	0	0	0	1	0	0
Lce3c	0	0	0	0	0	0	0	0	0
Gm24481	0	0	0	0	0	0	0	0	0
Lce3d	0	0	0	0	0	0	0	0	0
Gm22577	0	0	0	0	0	0	0	0	0
Lce3e	0	0	0	0	0	0	0	0	0
Lce3f	0	0	0	0	0	0	0	0	0
Crct1	0	0	0	0	0	0	0	45	0
Lce1m	0	0	0	0	0	0	0	111	0
RP23-279D12.2	4	2	0	5	4	5	2	1	3
RP23-279D12.3	0	0	0	0	0	0	0	0	3
RP23-279D12.4	0	0	0	0	0	1	1	1	1
Crnn	0	0	0	0	0	0	0	4	0
RP23-279D12.6	0	0	0	0	0	0	0	0	0
Flg2	0	0	0	0	0	0	0	91	0
RP23-120D6.2	0	1	0	0	0	1	0	1	0
Flg	0	0	0	0	107	79	0	14	0
Rplp0-ps1	44	56	25	44	164	151	119	154	217
RP23-227A12.2	0	0	0	0	0	0	0	0	0
RP23-227A12.4	0	0	0	0	0	0	0	0	1
RP23-227A12.5	0	0	0	0	50	37	1	2	0
Hrnr	0	0	0	0	0	0	0	10	0
Gm44353	0	0	0	0	0	0	0	0	0
RP23-346B13.2	0	0	0	0	0	0	0	0	0
Rptn	0	0	0	0	30	4	0	3	0
RP23-346B13.4	0	0	0	0	0	0	0	0	0
Gm22752	0	0	0	0	0	2	0	0	0
RP23-346B13.3	22	52	30	31	43	26	38	7	21
Tchh	101	125	21	128	544	395	13	174	3
Tchhl1	1	0	0	1	32	26	0	12	0
RP23-298L2.1	0	0	0	0	0	0	0	0	0
S100a11	87	120	91	76	4298	2947	771	1792	3575
RP23-298L2.2	0	0	0	0	0	0	0	0	0
S100a10	1925	1435	1654	1075	2018	1527	1896	1393	3207
RP23-455B5.4	0	0	0	0	3	2	0	1	7
RP23-455B5.3	0	0	0	0	0	0	0	0	0
Tdpoz2	0	0	0	0	0	0	0	0	0
Tdpoz1	0	0	0	0	0	0	0	0	0
RP23-455B5.8	0	0	0	0	0	0	0	0	0
RP23-455B5.5	0	0	0	0	0	0	0	0	0
RP23-455B5.9	0	0	0	0	0	0	0	0	0
RP23-455B5.7	0	0	0	0	0	0	0	0	0
RP23-455B5.6	0	0	0	0	0	0	0	0	0
RP24-443G4.1	0	0	0	0	0	0	0	0	0
Tdpoz4	0	0	0	0	0	1	0	0	0
Tdpoz3	0	0	0	0	0	0	0	0	0
RP23-199D18.8	0	0	0	0	0	0	0	0	0
RP23-199D18.4	0	0	0	0	0	0	0	0	0
RP23-199D18.5	0	0	0	0	0	0	0	0	0
RP23-199D18.7	0	0	0	0	0	0	0	0	0
RP23-199D18.6	0	0	0	0	0	0	0	0	0
RP23-242N11.12	0	0	0	0	0	0	0	0	0
Tdpoz5	0	0	0	0	0	0	0	0	0
RP23-199D18.9	0	0	0	0	0	0	0	0	0
RP23-242N11.3	0	0	0	0	0	0	0	0	0
RP23-242N11.2	0	0	0	0	0	0	0	0	0
RP23-242N11.4	0	0	0	0	0	0	0	0	0
RP23-242N11.5	0	0	0	0	0	0	0	0	0
RP23-199D18.1	0	0	0	0	0	0	0	0	0
RP23-242N11.13	0	0	0	0	0	0	0	0	0
RP23-242N11.11	0	0	0	0	0	0	0	0	0
RP23-242N11.14	0	0	0	0	0	0	0	0	0
RP23-242N11.6	0	0	0	0	0	0	0	0	0
RP23-242N11.7	0	0	0	0	0	0	0	0	0
RP23-242N11.10	0	0	0	0	0	0	0	0	0
RP23-242N11.9	0	0	0	0	0	0	0	0	0
RP23-242N11.8	0	0	0	0	0	0	0	0	0
RP23-242N11.15	0	0	0	0	0	0	0	0	0
RP23-232B20.3	0	0	0	0	0	0	0	0	0
RP23-232B20.1	0	0	0	0	0	0	0	0	0
RP23-232B20.2	0	0	0	0	1	0	0	0	0
RP23-232B20.8	0	0	0	0	0	0	0	0	0
RP23-232B20.4	0	0	0	0	0	0	0	0	0
RP23-232B20.5	0	0	0	0	0	0	0	0	0
RP23-232B20.6	0	0	0	0	0	0	0	0	0
RP23-232B20.7	0	0	0	0	0	0	0	0	0
Them4	400	462	297	480	638	451	205	146	183
RP23-148G12.2	16	11	9	8	14	8	5	14	9
Them5	3	4	4	0	0	0	3	8	7
RP23-148G12.3	10	13	11	13	4	4	7	1	0
C2cd4d	8	5	10	6	8	2	2	2	1
RP23-148G12.5	0	0	1	0	0	0	0	0	1
Rorc	1033	993	853	939	672	541	488	938	922
RP23-298M23.3	0	0	0	0	0	0	0	0	0
Lingo4	19	18	29	18	12	13	8	9	14
RP23-298M23.5	0	2	2	4	5	2	1	4	3
Tdrkh	108	49	54	59	99	73	73	186	201
RP23-298M23.7	0	1	2	3	5	0	0	4	4
RP23-298M23.8	0	1	1	0	1	1	0	1	1
Oaz3	3	2	4	2	0	2	1	0	3
Mrpl9	831	742	730	677	1258	837	618	840	766
RP23-298M23.9	2	0	1	0	0	0	1	0	0
Riiad1	2	0	1	0	10	2	0	81	107
Celf3	0	0	0	0	28	1	0	0	3
Snx27	640	597	403	583	1631	1238	711	557	428
RP23-298M23.11	1	0	0	0	0	0	0	0	0
RP23-298M23.12	1	0	1	0	0	1	0	1	0
RP24-276A6.1	1	0	0	0	0	0	0	0	0
AC127252.1	1	3	4	1	5	5	6	11	6
Rpl31-ps11	188	234	189	166	363	255	295	244	741
Tuft1	285	351	250	357	584	426	236	60	57
Gm10972	0	0	0	0	0	0	0	0	0
AC127252.4	6	8	10	2	3	8	5	1	1
AC127252.5	186	235	271	285	143	97	126	4	6
Selenbp2	26204	52725	76944	42717	3509	2827	20530	215	467
AC150033.3	8	4	4	3	10	4	7	1	1
RP23-449N19.1	0	0	0	0	0	0	0	0	0
Cgn	976	741	677	749	609	355	569	20	16
AC087903.1	0	1	0	0	0	0	0	0	0
Pogz	377	379	384	306	685	557	354	269	263
Psmb4	2530	2299	2478	2032	2756	2285	2233	3822	4198
Gm26279	0	0	0	0	0	0	0	0	0
Selenbp1	12435	17869	24668	14587	10428	8516	10315	787	1608
Rfx5	204	169	165	182	412	323	318	186	169
AC087062.5	9	4	4	0	4	5	1	7	9
Pi4kb	831	665	520	750	1039	784	724	359	566
AC087062.7	23	20	17	12	41	38	29	36	49
AC087062.8	22	21	18	13	29	32	15	19	18
Mir7013	0	1	0	0	0	0	1	0	0
Zfp687	349	193	209	173	347	277	261	145	197
AC087062.10	16	24	7	13	19	16	9	5	6
Psmd4	2071	2313	2106	2098	2298	1754	1876	3168	3920
Pip5k1a	241	233	212	237	443	347	325	437	246
Gm24920	1	0	0	0	0	0	0	0	0
Gm22301	0	0	0	0	0	0	0	0	0
Vps72	298	314	304	206	403	366	366	336	483
Tmod4	5	3	12	9	20	49	4	5089	5532
Scnm1	257	248	246	228	426	386	264	458	634
Lysmd1	205	255	231	201	191	157	184	194	137
Mir8099-1	0	0	0	0	0	0	0	1	1
Tnfaip8l2	24	15	10	18	83	95	318	217	491
RP24-290G2.1	143	91	90	117	276	186	230	146	150
Sema6c	17	10	20	7	31	23	20	370	444
Gabpb2	749	709	561	870	1141	869	995	549	496
RP24-372P19.2	23	23	37	31	38	27	25	25	41
Mllt11	19	16	16	19	423	314	93	1342	683
Cdc42se1	306	365	275	304	2042	1575	977	1101	1350
AC140190.2	1	0	0	0	22	17	0	2	6
Bnipl	0	0	2	1	5	3	3	11	2
Prune	430	307	253	321	581	452	378	948	686
Fam63a	2545	1871	1882	1853	2489	1957	1481	726	597
Anxa9	18	15	45	9	122	79	51	48	75
RP24-372P19.1	6	5	14	2	18	12	12	19	14
Cers2	7347	6457	6289	6171	5191	4086	5840	835	1419
Setdb1	610	593	600	483	733	596	597	313	352
RP23-407B16.2	0	0	0	0	0	0	0	0	0
AC092202.4	0	0	0	0	0	0	1	0	0
RP23-407B16.3	0	0	0	0	0	0	0	4	2
RP23-407B16.1	3	1	2	1	0	0	0	1	0
RP23-407B16.4	7	2	8	2	13	8	3	8	8
RP23-407B16.5	12	17	16	15	12	9	6	2	4
Arnt	836	734	632	664	848	659	974	522	407
RP23-422N18.1	2	1	5	6	4	3	2	1	0
Ctsk	27	7	7	15	133	103	57	450	244
Ctss	505	418	293	645	2291	2276	20369	4018	8131
Hmgb1-ps5	4	1	4	2	0	5	4	3	3
Hormad1	0	0	0	0	0	0	0	0	0
Golph3l	211	127	99	137	905	652	399	373	319
RP23-422N18.3	3	0	0	0	0	0	0	0	0
Rps10-ps1	260	254	276	194	708	521	519	760	1336
Ensa	761	841	717	802	1425	1259	1300	2325	1948
RP23-231L15.4	10	6	5	6	33	26	17	20	7
Mcl1	2120	1839	1936	1660	3379	3042	4351	4769	4576
Adamtsl4	47	44	50	26	47	44	43	135	188
Ecm1	1622	1621	1319	989	1326	929	1978	477	1239
Mir7014	0	0	0	0	0	0	0	0	0
Tars2	588	606	656	542	771	586	514	598	707
Rprd2	484	431	317	407	660	522	486	376	321
RP23-218K6.1	0	0	0	0	0	0	0	0	0
Gm26361	0	0	0	1	0	0	0	1	0
RP23-218K6.4	0	1	0	0	0	1	2	4	3
Prpf3	261	306	219	287	550	481	420	382	417
RP23-218K6.6	0	0	0	0	0	0	0	0	0
Mrps21	684	722	811	551	1868	1451	596	2457	2910
C920021L13Rik	11	12	11	14	40	34	1	15	25
Ciart	88	340	394	265	85	64	19	100	54
AC092855.1	20	11	10	24	84	74	212	86	139
Aph1a	1702	955	1252	847	1420	1212	1170	553	748
Car14	1644	936	830	861	1672	1668	312	430	372
Anp32e	456	341	342	311	1628	1235	827	2294	1174
RP23-49O17.4	2	3	4	2	5	2	2	2	0
RP23-49O17.5	1	0	0	0	0	0	0	1	2
Plekho1	93	90	73	87	274	249	687	510	1055
Vps45	205	147	119	142	401	287	208	226	362
RP23-261M19.2	0	0	1	0	0	1	0	2	1
Otud7b	565	620	363	621	956	718	703	675	434
Mtmr11	15	15	16	25	1814	1561	332	88	148
RP23-261M19.4	16	34	54	39	100	83	29	45	60
Sf3b4	286	278	238	235	363	289	462	163	315
Gm22027	3	3	0	1	1	0	2	2	0
Sv2a	1	1	1	4	271	283	6	18	34
Bola1	286	252	299	189	319	202	161	305	383
AC125099.7	0	0	0	0	0	0	0	0	0
Hist2h2ab	2	1	4	1	3	1	1	2	2
Hist2h2ac	25	14	36	23	21	16	16	28	48
Gm44492	0	1	1	0	0	0	0	0	0
Hist2h2be	48	64	61	71	166	138	143	154	173
Hist2h3c2	41	69	38	65	44	48	43	54	61
RP24-201C14.5	20	8	39	4	24	30	18	23	19
Hist2h2aa1	564	533	749	538	501	424	265	531	752
Gm47311	0	0	0	0	0	0	0	0	0
RP24-201C14.6	15	6	21	6	14	13	15	7	11
Hist2h2aa2	0	0	0	0	0	0	0	0	0
RP24-201C14.4	45	77	33	85	54	25	46	19	27
Gm47313	0	0	0	0	0	0	0	0	0
Hist2h3c1	0	0	0	0	0	0	0	0	0
RP24-201C14.11	5	17	16	16	2	2	11	6	8
Hist2h4	2	17	12	21	6	2	12	5	6
RP24-201C14.12	4	5	4	4	1	0	8	4	7
RP24-201C14.10	0	0	0	1	4	1	0	1	1
Hist2h3b	12	19	7	23	12	11	12	18	15
RP23-16G3.1	0	0	0	0	0	0	0	0	0
Hist2h2bb	0	0	0	0	0	1	0	3	0
Fcgr1	46	43	26	69	178	210	1795	219	450
Gm24830	0	0	0	0	1	0	0	5	0
Platr30	1	0	0	0	0	0	1	0	0
RP23-16G3.4	0	0	0	0	0	0	1	0	0
Rnu1b1	0	0	0	0	0	0	0	5	0
Rnu1b2	0	0	0	0	0	0	0	5	0
Gm17575	1	0	0	0	0	0	1	0	0
Gm26689	0	0	0	0	0	1	0	1	1
RP23-404J7.4	0	0	0	0	0	0	0	0	0
RP23-404J7.5	0	0	0	0	0	0	0	0	0
Pafah1b1-ps1	1	0	2	1	2	0	3	0	1
RP23-404J7.3	2	7	15	7	2	4	11	2	5
Terc	2	1	6	3	0	1	5	0	1
Gm24136	0	0	0	0	0	0	0	0	0
RP23-404J7.7	0	0	0	0	1	0	0	1	0
Gm26232	0	0	0	0	1	0	0	5	0
RP23-404J7.8	33	31	34	26	30	24	35	35	68
RP23-404J7.10	0	0	1	0	0	0	0	0	0
Rnu1b6	0	0	0	0	1	0	0	5	0
RP23-404J7.9	0	0	0	0	0	0	0	0	0
Gm28001	0	0	0	0	0	0	0	0	0
Gm25890	0	0	0	0	1	0	0	7	0
Gm22614	0	0	0	0	1	0	0	7	0
Hfe2	1203	995	1188	802	2	39	1056	5335	5202
AC122037.2	16	16	17	25	103	98	2	9	11
Txnip	1054	1456	872	1945	6485	5644	2488	8046	8803
AC122037.6	0	0	1	0	1	0	2	14	11
Polr3gl	146	117	181	112	348	306	233	765	648
Ankrd34a	1	0	0	0	3	3	1	5	6
Lix1l	77	56	57	44	172	140	155	228	297
AC122037.7	33	31	26	31	58	38	28	25	24
Rbm8a	651	766	568	713	863	716	741	1120	1156
Pex11b	348	367	398	366	538	426	361	220	326
RP23-204O17.1	0	0	0	1	2	0	0	0	0
Itga10	45	94	47	81	66	43	27	44	34
Rpl21-ps11	11	11	13	8	33	17	22	32	69
Ankrd35	1	0	2	0	10	4	4	71	31
Pias3	184	159	150	145	285	225	177	170	191
Nudt17	5	0	2	2	23	15	4	9	59
Polr3c	432	426	421	407	779	682	495	483	619
Gm22581	1	2	1	3	2	1	1	2	1
RP23-204O17.4	5	1	5	3	6	3	4	5	4
Rnf115	604	569	530	541	982	775	986	1143	973
RP23-395B13.2	2	2	1	3	8	0	3	0	1
Cd160	7	0	3	3	13	3	42	14	43
Pdzk1	1681	1239	1108	1276	19828	14698	1049	327	0
AC127297.4	1	0	0	0	0	0	0	0	0
Gpr89	660	617	565	649	847	632	580	302	410
Gja5	28	11	17	13	230	270	23	86	104
Gja8	0	0	0	0	1	0	0	0	0
RP24-86K23.1	0	0	0	0	0	0	0	0	0
RP23-97A19.1	0	0	0	0	0	0	0	0	0
RP23-97A19.2	0	0	0	0	0	0	0	0	0
Gm24435	0	0	0	0	0	0	0	0	0
