Geneid	Length	genome_mapping/Control1.rn6.sorted.bam
LOC499331	1676	234
Clasrp	2137	929
Sumo3	1569	2121
Spatc1l	1278	1
Spz1	1597	0
Tmem174	1352	0
Zfp458	3287	75
Erich6	1969	19
LOC499643	797	11
Lysmd1	2069	191
Lix1l	3550	2111
Gstm4	1558	445
Prpf38b	2993	1234
Gar1	1352	211
Lrriq3	2388	13
LOC499742	906	0
Tprn	2731	703
Arl6ip6	1715	205
Erich2	1653	50
LOC499886	2187	0
Zfp133	2282	266
Abhd12	1949	3798
Gata5	2087	1
Iqca1l	2583	0
Asb4	1509	1
Tas2r7l	912	0
Hyal6	2577	0
Hyal5	2084	2
Pot1	2704	393
Fam71f2	1238	3
Fam71f1	1572	5
LOC500077	1617	134
Rab19	1359	5
Zfp467	2835	289
Gimap7	1271	14
LOC500124	1986	26
LOC500227	1921	28
Rab43	961	205
Arl8b	2729	4430
Cidec	1672	3
Depp1	1266	425
Cd27	1577	20
Tuba3b	1490	0
LOC500331	1435	8
Bcl2l14	1573	16
Tuba8	1451	56
Mcmdc2	3173	89
Fam110b	1647	168
Dnai1	2407	52
Fam205c	1341	0
Sit1	1204	3
Tpm2	1492	515
LOC500475	2110	182
Slfnl1	1742	32
LOC500567	1575	4
Tnfrsf18	1029	8
Efcab11	1473	29
Apof	1198	0
LOC500827	1948	3
Lrrc14	2040	320
Ccdc134	1560	233
H1fnt	1368	0
Msantd4	2811	783
Glb1l3	2306	1
Tmem225	910	0
Lrrc73	1299	62
LOC501110	2011	291
C2cd6	1884	0
Tex44	1419	0
Cesl1	2000	0
Arl13a	1654	9
Armcx1	2127	61
Slc10a3	1877	378
Ypel4	1547	239
Pigy	2474	443
Ncald	3245	5260
Tas2r138	996	0
Tas2r108	915	4
Mrc2	4443	2083
Tekt3	1732	5
Ccdc116	1964	5
Chaf1b	1933	182
Naa11	3230	4
Ugp2	2113	1667
Cdc16	2237	985
Slc39a6	3037	1445
Katnb1	1968	523
Phf10	1644	736
Rsph6a	2326	6
RGD1305713	2051	113
Pold3	1712	265
Sox6	2698	217
Snx15	1537	823
Ifit2	3410	487
Gmps	2149	735
Ube2l6	1411	208
Ythdf1	3082	1123
Wwp1	3289	870
Ttll10	2355	5
Tmem5	1523	356
Ift46	1545	593
Lrrfip2	1812	800
Prim2	2113	373
Nif3l1	1508	224
Slc36a3	1726	19
Nbr1	4328	3751
Wdr5b	1860	74
Dyrk3	2109	60
Elf3	1953	1
Cdc73	2069	291
Exoc1	2251	695
Tnip2	2109	380
Naf1	2131	202
Brf2	1845	183
Def8	3136	645
Zfp110	2985	681
Hipk4	2400	62
Pdzd9	936	11
Rad17	2764	335
Cyp2u1	2131	441
Prkra	1554	725
Sox18	1619	207
Lrrc8a	3306	2182
Creld1	1877	895
Nfx1	4631	921
Mcart1	2239	44
Wdr78	2641	114
Osgepl1	1802	250
Actl11	3690	0
Nap1l2	2404	335
Usp7	3312	1756
Epn3	3495	20
Slc25a39	1446	2093
Cdc27	3021	779
Mettl3	1909	642
Rnf44	1697	883
Spin1	1100	80
Gon4l	7736	893
Ubap2l	4088	2930
Fam133b	1985	310
Tmx1	1843	1410
Zw10	2427	361
Tmem165	1872	897
Lrrc63	2468	32
Hbe2	444	0
Gnas	5309	15582
Rogdi	1530	828
Mrpl40	2402	166
Cfap36	1444	1467
Vps37a	1717	367
Pih1d1	1284	265
Wwtr1	1538	545
Ctnnbl1	1842	636
Rabepk	1574	329
Nkap	1282	281
Rhox11	648	0
Rhox9	597	0
Gpalpp1	1237	431
Nsmce2	1046	375
Ncaph2	2082	1156
Znrf4	1189	14
Dnpep	1648	1710
MGC114483	1371	0
Tns4	2471	0
Cfap45	1826	79
Pomk	2942	711
RGD1309362	2917	0
Ccdc90b	1418	407
Dcun1d3	1473	35
Sigirr	1595	91
Gatad2b	2352	341
Rhox4g	829	0
Pih1d3	1540	2
Rhbdd1	1319	150
Rlim	2131	55
Magea9	1487	0
Plac1	1062	0
MGC114492	1429	1
Hsdl1	1844	383
Ehd2	2028	1259
Paf1	1947	1317
Sufu	1733	292
Pip4p2	2217	1080
Rhox12	772	0
Lrrc56	2129	68
Sertad2	1508	194
Ccdc71	1640	380
MGC116121	1080	195
Arl2bp	2010	2397
MGC114499	2408	3
Mfsd3	1501	271
Ccdc184	1402	52
Gpr34	1299	953
Exoc3	2395	837
Trappc2	1450	607
Samd14	2754	180
Tmem106a	2376	451
Slc46a3	2385	197
RGD1305455	2486	476
Sde2	3146	492
Haus8	1447	247
Arglu1	1719	1449
Carnmt1	1313	152
Morn4	1699	309
Calhm6	1066	11
Calhm5	1696	40
Ralyl	1451	116
Gpatch4	1875	723
Ankrd34a	2864	94
Mettl15	1999	28
Cpne9	1959	79
RGD1559532	663	0
Ergic2	1559	915
RGD1306186	1765	0
Cwc15	1349	909
Herpud2	2060	1015
Trex1	1020	312
Amdhd2	1472	892
Fahd1	1440	274
Tmem199	1282	497
Smarce1	2177	1680
Nrros	2481	871
Mblac1	1263	103
Ccdc93	2378	839
Txndc15	1521	683
Snx20	1369	193
Iyd	1380	0
LOC308990	2152	216
LOC310926	1471	27
RGD1305178	1706	813
Vsig4	1412	61
Dohh	1515	610
RGD1310852	1303	100
Klhl38	2642	9
Josd1	2699	562
Nlrx1	3302	468
RGD1305464	4194	543
Gin1	1841	109
Mageb16	1676	0
Tmem50b	2266	1280
Gtpbp8	1200	92
Chac2	1208	113
Them4	1731	198
Dram2	1404	978
Ntmt1	1253	361
Syndig1	2027	99
Dnajc25	1271	179
Lurap1l	1147	135
Ndc1	2610	384
Wdyhv1	1409	168
Daw1	1669	32
Stap2	1414	104
Fundc1	1962	523
Fam35a	3359	282
Tifab	1351	691
Fam71b	2129	3
Cd96	2056	6
LOC498154	1444	552
Fam107b	3060	619
Thnsl1	2671	193
Pum3	2115	333
Mettl24	1421	14
Abhd18	2350	162
Ccdc183	1686	6
Ier5l	1589	270
Fibin	2272	1194
Itpripl1	1878	70
Ccdc146	3161	57
Ttc26	3246	198
Fam131b	4021	1500
Hmces	1447	219
Setmar	1545	66
Acrbp	1260	41
Cdca8	1513	448
Fam110c	3114	8
Ccer1	1733	0
Galnt4	2538	180
LOC500956	1837	297
Nxpe4	2194	200
Gmppa	1638	548
LOC502176	496	2
Syce1	1447	3
Tbc1d22b	3312	524
LOC502684	1421	18
Tas2r143	885	0
Tas2r135	966	0
Scrn1	1516	1177
Tigar	2713	267
Angptl3	1762	0
Apol9a	1568	134
Cd300lf	1787	473
Galnt17	1786	84
Kpna5	1664	132
Wasf1	2512	716
Stap1	1329	106
Rnase1l2	459	0
Ehbp1l1	5651	2211
Mindy1	2028	738
Plekho1	1457	1262
Gtf3c2	3900	1512
Cdkl1	1837	80
Cyhr1	1276	165
Kdelc2	3752	1606
Ntan1	1022	467
Sumf2	1466	505
Rfwd2	2093	951
Rufy3	1877	1199
Castor1	1515	353
Fam107a	2842	6442
Bag4	2139	219
Sult2a2	992	0
Cnih2	1337	209
Capn13	2581	1
Uqcrq	1494	1231
Krtap1-5	369	0
Hexim1	2113	757
Ier5	2093	601
Tmem156	1508	63
Zpbp	1409	16
Psme4	7277	4309
Ccnb1ip1	1781	7
Trim35	3678	2882
Kxd1	1193	738
Prmt2	1979	715
Zfp365	2777	332
Ndufs4	1487	1041
Gpr160	1605	80
Galntl5	1539	1
Tas2r137	951	0
Tas2r144	960	0
Atad2b	2620	105
Tc2n	2501	30
Iqcf3	1154	0
Lrrc17	2065	114
Mc3r	1098	0
Sfpq	2475	2509
Pgam5	1992	568
Pnisr	4112	3229
Rad23b	2760	4368
RGD1305807	2431	155
Bud13	2165	290
Pus10	1830	118
Reep4	1206	371
Slc10a5	1305	10
Slc9a8	2146	448
Orc3	2154	388
Fam118b	1548	357
Rpusd4	1801	292
Ankrd54	1904	220
Tipin	1166	127
Dmrtc1a	1135	14
Mbp	3378	255821
Smndc1	2051	258
Nup85	2075	484
Umps	1606	671
Rbms2	1285	1109
Ceacam11	944	0
Ruvbl2	1710	638
Exosc9	1623	612
Alg5	1424	524
Mrps25	738	379
Hdac1	2010	1287
Chmp5	1327	1588
Dnaja4	1827	444
Fam58b	1164	173
Tmem184a	1827	2
Hars	1929	1411
Ch25h	1318	337
Dok1	1732	258
Actl7b	1389	4
Ppp2r1b	3170	1472
Tax1bp3	1135	1467
Lsp1	1235	1445
Celf1	2000	1000
Irak2	2945	340
Adhfe1	1856	384
Usp3	2224	427
Map2k7	1260	594
Pus1	1787	310
Vnn1	2351	104
Hmgn2	1228	2154
Stub1	1266	535
Tefm	1217	96
P3h2	2362	97
Ropn1	931	1
Mospd3	1012	552
Arl6ip4	1190	526
Lpcat2b	2144	1
Ewsr1	2171	2094
Ggact	1157	287
Nars	2617	3182
Spata24	667	65
Psmb10	998	527
Stx11	1953	65
LOC292543	2480	0
Vta1	1176	1175
Psg29	2171	0
Fbxo46	2926	241
Fbl	1181	855
Syngr4	1597	11
Mus81	1898	268
Cep55	2455	340
Poc5	2304	226
Snapin	1799	1979
Tm9sf4	2250	877
Dusp11	1133	183
Sytl1	2038	37
Trmo	1456	56
Lrrc42	1673	782
Rhox7	894	0
Cmpk1	1846	1466
Ccdc163	1589	140
Ssu72	1039	1052
Tex21	1910	5
Lrrc6	1597	9
Ei24	2092	1505
Crb3	1094	7
LOC301165	3099	0
Rbmx	2003	880
Wsb1	2673	3289
Ccdc63	2061	0
Mgat4d	1350	0
Rnf2	2379	564
Mettl18	1505	75
Brox	3341	1652
Gpat3	1987	158
Rassf6	1867	4
Pspc1	2004	535
Cenpu	1609	125
Abt1	1292	256
Tubb6	1751	2809
Rbm22	1696	751
Zfp978	1634	64
Fkrp	2834	567
Psg16	1696	0
Gpr4	1489	362
Ttc23	1923	110
Cdr2	2348	550
RGD1311946	2063	433
Pex11b	1408	272
Cd5l	1965	12
Sec22b	1411	1190
Dclre1b	3985	545
Palmd	2003	230
Psmd14	1511	1255
RGD1311739	1286	432
Sdcbp2	1418	48
Cdca7	2332	256
Fam166a	1597	7
Cops5	1272	1264
Yars	2440	1377
Hsdl2	2010	1573
Sf3a3	1746	839
Maco1	3415	856
Fbxl12	1902	166
Rad21	3557	3721
Desi1	1417	976
Azi2	1997	515
Fem1a	2197	600
Tfeb	2266	759
Ogfrl1	1706	890
Pdcl3	1746	616
Fam126b	2059	147
Atg4b	2447	679
Itm2a	1574	1347
Magec2	1914	0
Bloc1s6	2087	475
Limd2	1162	1125
Vps4b	2822	1646
Arpc5	1753	2804
Tfdp1	2357	1331
Pxdc1	1788	765
Dhtkd1	4257	254
Colec12	2889	1031
Cdk10	2198	731
Mtrf1l	1187	98
Pnldc1	2002	26
Hirip3	2196	626
Srpk1	2295	728
Rnf8	1953	344
Smarcb1	1604	677
Zbed3	1810	348
Fbxw5	2319	1128
Gle1	2237	403
Nop56	1912	1074
Procr	1381	335
Tada3	1949	565
Tcea1	2358	677
Gnl2	2301	835
Smpdl3b	1898	67
Srsf10	1193	445
Rpl11	907	5889
Rrm2	2527	1004
Eml1	2361	2237
Dazap1	1544	946
Wdr61	1206	635
Nprl2	1537	413
Zfand2b	1295	286
Rhox2	1580	0
Yipf6	2385	568
Taz	1786	466
Grap	1536	105
Plek	1648	490
Blk	2266	5
Cdk20	2123	337
Rem1	1625	69
Neil1	1728	220
MGC116197	1409	107
Tmem186	2056	453
Trpv3	3010	174
Proca1	1417	80
MGC112692	1494	0
Zkscan1	3143	429
Mapkapk5	1758	736
Smyd3	1322	81
Defa9	310	0
LOC498933	1521	5
Zfp90	2212	180
Il34	1525	413
Blnk	1739	1483
Dsn1	1975	204
Spata25	1585	20
Cep41	2470	175
Fam221a	1404	21
Stpg1	2269	78
Tnfrsf9	1385	104
Ccdc105	1699	2
Ppip5k2	1843	229
Rhox8	738	0
Strn3	4139	1099
Mrpl19	1169	258
Adam23	2876	669
Mrpl12	1563	735
Csf1r	3698	12876
Ptprk	4464	458
Fam162a	537	622
Rnase1	782	0
Klrc3	693	0
Pdcd6ip	5775	4382
Cit	6291	813
Nkapl	1517	26
Cmtm1	1861	0
Brix1	2432	559
Depdc7	1707	254
Memo1	1322	736
Ttc30a1	2442	67
Necap1	2419	1146
Vstm4	2139	202
Eps15l1	3044	1165
Zbbx	1793	9
Oscp1	1385	183
Stra6	2682	1126
Ostm1	1448	687
Gli4	2108	32
Cpvl	1606	7
Lair1	854	2
Prkar2b	3169	359
Rplp2	428	3446
Tsga10	2725	89
Map2k4	1086	553
Slc19a2	3178	318
Upp1	1100	360
Ifi30	1283	4799
Gins4	1055	245
Elmo3	2406	219
Commd7	958	486
Cpsf3	2233	991
Lta4h	2020	1492
Slc25a38	1666	345
C1galt1c1	1314	567
Rhbdf1	2932	1111
Ap5m1	2999	434
Capn7	3538	749
Zfp518a	6783	451
Csk	2080	1866
Carm1	3195	1034
Rad9b	1729	54
Irx5	1455	65
Magi1	3768	515
Ndufs5	523	320
Akirin1	2183	1021
Kif1bp	2422	1133
Abca17	5322	199
Cd68	1200	5132
Psmd2	2897	5064
Eif3b	2921	2325
Aga	1182	1147
Serpinb1a	1265	1308
Trdmt1	1506	271
Ercc3	2616	1062
Acp6	1312	308
Stoml2	1190	750
Dnali1	2225	111
Efhd2	2108	2181
Sirt6	1628	468
Mrpl44	1151	353
Tmub2	2377	923
St6galnac2	1997	189
Polr3d	1896	591
Anxa8	1829	150
Manba	3664	910
Serinc2	1808	142
Tdp1	2059	199
Slc11a1	1990	1435
Trip12	9641	4261
Msrb2	1141	284
B4galt7	1564	351
Coq4	1222	114
Rmdn1	1670	501
Grtp1	1245	57
Copg1	2625	3397
Gpr33	930	2
Bmp10	1266	1
Gp9	570	0
Sprn	444	15
Prrt1	1949	829
Tcf21	1224	0
Rpain	739	157
Cenpl	1811	156
Cldn23	1725	22
Rpp38	1194	103
Kazald1	1623	84
Golga5	2190	671
Ddhd1	3409	967
Tmem45b	3457	8
Edc4	4739	1352
Eif4ebp2	1699	741
Sarnp	1120	657
Clul1	1440	0
LOC500959	785	7
Defal1	264	0
Defa10	275	0
Defa7	290	0
Defa6	288	0
Defa8	312	0
Defa11	315	13
Slc6a17	6317	781
Entpd8	1737	0
Tmprss11d	1747	1
Akap12	6421	5059
Dnah1	12872	136
Man1a1	3857	1035
Araf	3208	1683
Bcan	3840	3053
Dstn	1691	1928
Bcl2l1	4120	1737
Bicd2	6324	2119
Cabp1	1604	317
Prkar1b	2306	1905
Syt1	1896	261
Eif5a	1199	6811
Shpk	2780	158
Vat1	2603	9909
Cct6a	1985	2241
Sap18	761	418
Cyp4f18	2751	36
Ushbp1	2471	120
Dsc2	4507	276
Lonp2	2400	708
Orc6	1441	144
Irf7	1959	252
Commd9	1163	1507
Slc31a2	1763	547
Srebf2	5003	2436
L3mbtl2	3389	875
Hnrnpdl	1319	2256
Akr1c1	1182	0
Ankrd16	1342	115
Cox15	3007	377
Cers2	2022	4059
Zeb2	3648	3017
Rnf126	1358	407
Apobec3b	1756	114
Xylb	3291	565
Zfp451	3936	354
Aldh16a1	2566	1158
Arfgap2	2761	1548
Rae1	1536	545
Alg6	2894	290
Prss16	2064	2
Cast	4624	3221
Cdkn1c	2055	505
Slc44a1	5380	12606
Ceacam1	3573	234
Cflar	6652	897
Surf2	1156	207
Cdk12	6070	742
Surf4	2753	522
Csnk1g2	2376	1513
Cxcl12	6921	2029
Rexo4	2360	1028
Prrc1	1642	555
Numbl	1842	518
Cog7	2776	639
Rtfdc1	2116	1205
Mob1a	4407	2345
Ints11	2009	571
N4bp3	2018	18
Jakmip1	2319	171
Crtc2	2076	839
Tmem79	2062	26
Noc2l	2439	714
Calu	3361	6028
Sms	1620	263
Ngrn	1743	631
Tut1	2661	388
Trmt13	1798	126
Rpe	2077	748
Gimap5	1519	104
Epn2	4414	2139
Gimap8	3109	142
Fcer2	1999	5
Fhl1	2454	3591
Ola1	1685	955
Zc3h14	3422	1218
Calca	1308	377
Kcng3	1586	0
Obp3	1964	0
Kcnip2	2346	30
Prkx	4057	681
Pfkfb2	3824	344
Ak2	1848	917
Bag6	3857	3408
Ndufaf3	1437	373
Ensa	2992	1724
Lhb	580	3
Ank3	10109	2421
Map2k5	2287	444
Ubox5	3658	313
Itgal	4360	1774
Rpap1	4796	617
Ncapd3	5149	613
Yap1	1471	523
Apmap	2073	749
Jam2	4132	3149
Acap2	3579	1695
Ncoa4	3459	3674
Mcam	2905	1502
Tril	4846	3048
Sft2d2	5074	967
Adamtsl4	4158	699
Asic2	3196	145
Calcr	3530	12
Syn2	2871	615
Mprip	3891	4505
Hyou1	4514	2153
Dnajc12	1152	278
Tpm1	2940	3345
Cbx8	1358	80
Med24	3357	1115
Pyy	520	0
Paqr7	1038	613
Snn	2906	2582
Ephx1	1899	458
Mtrex	3564	1037
Tmc4	2292	5
Tnnc1	486	19
Ing3	2158	209
March2	1296	2213
Aarsd1	3306	798
Ctsf	1863	2134
Prlr	2844	1
Mlx	1895	715
Becn1	2108	1595
Mfap4	1484	227
Per1	4001	2004
Nit2	1030	697
Alg8	1984	270
Pald1	4213	668
Sec62	1858	1995
Iqub	3034	144
Foxp1	2207	375
RGD1559786	1395	515
Klhdc2	1578	982
Eif3l	1428	1743
Rbx1	881	1137
Mrpl2	991	303
Sp110	1762	654
Spdl1	2258	188
Lrrc8e	2997	27
Baiap2l1	2272	95
Dars2	2283	400
Nkx3-1	1782	0
Elp2	2732	909
Usp10	3260	731
Pex7	1406	143
Nmi	757	224
Ddi2	3523	871
Srpra	2912	3009
Tmem54	1044	7
Nsg2	2266	1266
Spdye4	1737	0
Caap1	1521	207
Trappc9	3046	652
Gpank1	1407	292
Blmh	2291	1194
Stat1	4419	1919
Sh3rf2	2412	18
Ppil1	1307	459
Tmem33	3552	1207
Nptx2	1906	172
Ubxn1	894	1773
Zfp384	3322	1188
Kansl3	4434	1566
Gh1	811	0
Gimap1	1106	34
Plpp6	2852	423
Gpr153	2644	244
Ubfd1	1221	262
Fam134b	3112	241
Gpbp1l1	2488	300
Rpl8	831	1255
Mks1	2466	274
Iws1	2938	529
RGD1562218	4024	711
Cblc	1659	3
Nars2	1761	134
Atad3a	2358	628
Dus3l	2003	414
Sfswap	3127	929
Cpt1c	2731	696
Lrrc40	1953	774
Sulf2	4172	9324
Immt	1913	1825
Slc39a9	1510	488
Pkhd1l1	12984	142
C1qtnf6	2310	365
Arsa	1524	887
Arid5a	2428	511
Ppef1	2326	13
Nprl3	2619	312
Ubac2	2072	764
Endog	929	43
Nabp2	1454	971
Zcrb1	1312	307
Tarbp2	1471	392
Zbtb44	2702	179
Slc22a12	2156	23
Grap2	1099	46
Ccdc60	2224	15
Itln1	1129	0
Tdp2	1924	606
Zfyve19	1563	441
Tmco4	2754	248
Rup2	538	0
Acsf2	3084	1304
Pqlc3	1904	773
Cdca7l	2567	305
Fam104a	2552	768
LOC619574	2396	957
Spag6	2060	27
Sohlh2	2339	0
Rwdd4	2892	705
Rnf14	2936	3582
Nrbp1	2133	1373
Ctps2	3272	880
Nicn1	2126	686
Hdac10	2143	302
Tmem69	1945	303
Atad1	2305	1447
Mbtps2	2091	160
Ypel5	2114	1965
N4bp2l1	2126	165
Slc19a1	2479	367
Slc1a2	1528	1164
Tagln3	1177	324
Tcf3	2781	733
Csnk2b	983	1733
Parl	1317	694
Slc38a9	1783	287
Myl2	646	2
Srsf11	2628	2095
Coq9	1704	682
RGD1310127	2555	496
Zfp36l2	3542	79
Akap9	12068	1469
Ctu2	1636	348
Cpox	2753	751
Rassf2	3406	1406
Sptlc2	3715	1413
Pcdhga10	4631	132
Pcdhga5	4661	26
Pcdhga2	4660	76
Pcdhga1	4490	20
Pcdhga11	4630	166
Pcdhga3	4654	59
Pcdhga8	4631	53
Pcdhga9	4674	53
Pcdhgb8	4656	169
Lrrc8c	2855	487
Fkbp8	1650	4213
Cep44	1562	210
LOC290876	1352	0
Mrpl47	1933	244
RGD1307100	1495	442
Smc4	4241	1350
Slc25a40	1342	89
Txlng	3029	80
Mettl26	1216	140
Nsrp1	1951	350
LOC303448	3137	8
Tecpr1	4251	1577
Trmt1l	2618	367
Acd	1377	648
Det1	1808	76
Rhog	1223	3069
Kdm8	2447	289
Kank1	5170	2472
Slc52a3	2222	137
Dhrs3	1637	1135
Rmdn2	1925	105
Ddx21	4381	815
Plekhh3	2988	257
Ccl25	1334	0
Taf1a	1484	74
Abcg3l4	2688	18
Bphl	1188	196
Creld2	1344	470
Mterf4	1301	188
Gipc2	1253	67
LOC367830	1406	0
Zfp94	2453	129
Cdca4	2307	345
Slc35b2	1853	968
Nxf7	2251	0
Mmd2	2135	1642
Radil	3687	240
Foxk1	2487	245
Ap5z1	3529	744
Hnrnpf	2347	2565
Ube2d2	839	1584
Gpr12	1901	18
Taf9	1758	1225
Nat1	2494	198
Csmd1	12988	132
Lrrc4	3597	369
Pcdhga12	4680	51
Ndufb4	455	454
Rps19	529	4214
Scaf4	4304	816
Aimp2	1102	412
Bloc1s2	883	740
LOC296235	1523	0
Tnnc2	716	104
Eif6	1225	1079
Etv6	1809	268
Klf11	3780	409
Mettl7a	1777	1145
Pak1ip1	1507	344
Lilrb3l	2096	415
Lmo2	1835	831
Gpr35	921	17
Zfp830	1465	164
Idnk	1082	97
Lrrn1	3056	1994
LOC500990	1431	0
Bex1	709	105
LOC502618	999	1
Asb12	1327	0
Defb29	696	0
Popdc3	1285	15
Klrc1	1221	0
Slc41a3	2238	337
Otud5	2606	1778
Defb13	201	0
Defb14	204	0
Defb11	210	0
Defb26	387	0
Defb2	216	0
Defb24	386	0
Defb9	216	0
Defb10	216	5
Defb40	222	0
Defb21	252	0
Defb50	222	0
Defb12	237	0
Defb36	314	1
Defb25	216	0
Defb20	291	0
Defb23	495	0
Defb27	322	0
Defb15	276	0
Defb39	291	0
Defb33	319	0
Defb52	381	1
Defb41	240	0
Defb49	254	0
Defb43	213	0
Defb44	228	0
Defb18	258	0
Defb30	228	0
Defb42	264	0
Defb17	279	0
Prok2	387	6
Cdnf	624	16
Slc6a14	2126	0
Fgd1	3261	176
Defb51	650	0
Defb3	192	0
Defb5	192	0
Defb37	192	0
Defb38	192	0
Bex4	593	96
Nmnat1	2104	1082
Rhoxf10	606	0
Ggta1l1	966	0
Sp7	1624	41
Mptx1	660	0
Ube2z	2857	435
Ccdc130	1555	248
Rab2b	1167	422
Fuz	1451	307
Unc45a	3308	1037
Fam105a	1508	1524
Rbm43	1899	198
Nphp4	5037	244
Prtg	5308	23
Zdhhc6	1879	771
Fubp1	2346	1178
Dixdc1	5395	1329
Henmt1	1247	17
Afg1l	1764	98
Rbm12	3805	14
Rnf130	1106	2066
Mpp1	1250	705
Csf2ra	1392	1476
Dtnbp1	1140	411
Trpm1	5030	74
Spryd4	1479	200
Snrnp200	6779	3564
Arpc5l	1269	419
Nagk	1184	638
Apopt1	820	228
Fbxo22	1790	846
Cep63	3135	427
Ccnjl	2990	236
Cldn8	2250	0
Chst12	1612	669
Tmem177	1446	129
Lrp10	2913	2835
Dctn5	1604	1020
Itgb2	3156	3536
Cnot4	3474	556
Lrrc74a	1616	1
Vsig1	1537	4
Polr1d	828	645
Styxl1	1280	68
Ccdc28a	1197	143
Leng8	5657	6290
Wdr43	3431	713
Smim14	1049	1525
Dock8	7495	1610
Cct8l1	1935	0
Fmc1	1336	145
LOC500354	1445	1
Spag11b	401	0
Dusp9	2589	8
Jph2	2127	25
LOC297568	4636	6
Ap4m1	1362	280
Cfap20	1125	514
Adipor2	1185	1115
Tada1	1426	339
Trat1	1820	4
Tmem147	857	609
Atg12	2567	1123
Prodh2	1407	9
Ing1	1055	312
Dnaja3	1809	795
Oprm1	3773	13
Fndc1	5193	1009
Svbp	856	227
Trap1	2236	1155
Fam43a	2403	453
Mtrr	2363	348
Nudt21	1049	865
Mcoln2	2517	35
Klhl25	3277	161
Hrasls5	1460	16
Tmem176a	956	4337
Zdhhc21	3467	263
Ppcs	1353	120
Cnksr1	2476	23
Rer1	1256	1480
Tle2	2410	227
Zdhhc3	1880	1034
Mff	2077	922
Zdhhc9	2875	1402
Specc1	2794	1189
Fbxo39	1597	1
Kif18b	3295	467
Zfp207	1720	2173
Zdhhc8	3386	714
Coq5	1559	360
Net1	3149	1809
Spef1	1502	142
Tln1	8647	9317
Ubr4	15828	5395
Wdr18	1371	504
Actr1b	3176	2577
Gas8	1576	113
Tkfc	2370	201
Lemd2	1901	223
Actl6a	1729	514
Wdr5	3029	685
Srsf7	1051	1134
Gabpb1	2501	160
Zdhhc13	2345	379
Cdc42se1	2667	2718
Cox6b2	472	68
Zdhhc1	1903	304
Zdhhc24	1560	171
Zdhhc15	2884	148
Tusc5	3380	99
LOC654482	1318	149
Slc39a13	2410	838
Tor1b	2923	732
Narf	3034	620
Spns1	2185	1145
Zdhhc19	1523	0
Zdhhc22	1115	38
Zdhhc25	1233	0
Zdhhc20	1899	1194
Fubp3	1836	901
Zdhhc5	2680	1077
Zdhhc18	2650	900
Zdhhc17	2887	843
Dgke	3048	228
Zdhhc11	1434	1
Zdhhc14	3028	659
Tes	2364	1173
Eqtn	1051	23
Zdhhc16	1806	420
Alox12b	2268	1
Trappc1	550	1020
Crisp1	1375	0
Pced1b	1999	253
Specc1l	4287	899
Irx2	2634	49
Kcnk5	3464	149
Pax9	3925	41
Ugt1a5	2266	1
Wdr45b	1145	760
Gmds	1465	540
LOC294154	3252	3133
Mcmbp	2470	879
Fnbp1l	1830	324
Ube3d	1855	26
Nsmce1	1177	453
Tmbim7	1266	2
Sult2b1	1216	17
Gkn2	720	4
Ugt1a6	2435	192
Lrfn2	2700	26
Fto	1571	804
Slc6a19	2423	0
Gpx4	1166	3481
Akirin2	1480	929
Teddm1	1258	0
Tuba3a	1486	0
Acaa1b	1524	43
Rmnd1	1353	358
Rab3gap2	4244	1492
Zmym3	5360	1825
Aste1	2411	49
Mon2	6850	2011
Tbcb	1084	582
Mfge8	2171	2492
Nkr-p1c	1474	23
Atcay	2722	502
Dut	973	398
Camk2b	4106	1182
Pitx2	2272	1
Unc13b	7873	384
Hsd3b3	1550	0
Pip5k1a	3474	756
Spag5	3866	582
Taf6	2095	890
Rita1	1629	191
Cfhr1	1142	0
Pes1	2084	1223
Tnfrsf19	1368	235
Cers1	2656	0
Sbsn	2193	79
Trmt10a	1295	232
Clec2l	1430	341
Osbpl9	2765	2314
Fcf1	698	528
Kdm4b	4620	1013
Mcts1	1217	482
Gdpd1	1371	254
Ap1m1	1926	1540
Gdf1	2656	0
Atl3	2021	870
Pdhx	1660	484
Tasp1	1926	101
Tomm34	1784	617
Asap1	3311	1310
Mageb18	1901	0
Asb5	1492	20
Traf3ip2	2055	139
Antxr1	3327	594
Stat6	2635	1255
Fzd8	2986	0
Nadk2	3134	691
Pif1	1915	44
Coq2	1777	296
Epsti1	1551	545
Ces2h	2000	0
Fbxo31	1739	668
Rfxap	1639	39
Steap4	3086	464
Trim24	2642	369
Mknk1	1908	1065
Tmem196	1657	32
Tuba1b	1618	5659
Prl2c1	744	0
Jagn1	1149	493
Arfgap3	2577	757
Odam	1178	0
Elovl1	1482	2937
Rprm	1418	38
MGC94891	1737	7
Rnf133	1356	0
Liph	2388	23
Slc25a18	1965	133
MGC93861	1360	8
Mat2b	1791	810
Snx3	1417	3995
Tsc22d4	2399	333
Msrb1	885	762
Mea1	846	1890
Evi2a	1371	1861
Kti12	1523	88
Larp7	2071	614
U2af1	906	1020
Kiaa0895l	1978	141
Nap1l5	1609	1829
Gabarapl1	1694	3452
Tpd52l1	1226	187
Amtn	1002	0
Ankrd61	1449	39
LOC690784	1753	0
Vsir	1872	2231
Muc15	1425	7
Psrc1	1675	51
Aknad1	2523	9
Eid3	1325	15
Lrrc34	1952	32
RGD1563986	1368	253
Prl5a2	919	0
