Geneid	Length	genome_mapping/High.2838c3.rep1.RNAseq.mm10.sorted.bam
Tent4a	3997	7533
Cd300lf	1892	2903
Ube2h	4779	17002
Clec4a2	2616	568
Mlf2	1544	25748
Cd163	4492	2745
Tmem229b	4287	295
Slc35b3	2226	2368
Ppfibp1	5194	37949
Tada2b	3791	3183
Borcs5	1937	1090
Arpc4	2271	11176
Tprkb	3342	4327
Aplf	3282	1515
Mef2c	7152	1950
Btf3	1129	43179
Krit1	6414	5316
Prkag2	3952	3426
Nfu1	955	4502
Fcamr	1911	60
Slc17a1	2832	608
Rnf144b	4694	5332
Pde8b	5155	231
Elmod2	4709	2928
Rcbtb2	3856	3593
Dthd1	2905	18
Asb8	2278	3343
Wdr59	5222	4522
Ctbp2	4777	7231
Magi2	7233	397
Asb14	2021	650
Mthfd1l	4332	5495
Rbm20	6592	1914
Luc7l2	9301	25826
Klra2	1886	580
Mndal	1936	676
Trim36	4851	222
Wdcp	3173	615
Ncald	4830	1889
Pym1	1491	2194
Trim43b	2262	9
Trip4	7162	2513
Prr13	1229	12073
Trim66	9649	71
Olfr1507	1679	0
Plppr3	4275	1556
Rnmt	5270	8379
Defa27	282	0
Pde6c	2963	86
Dtwd2	3145	441
Wdr33	8062	10398
Dbndd1	2637	301
Abat	4635	2870
Hnrnpc	4037	26369
Kirrel	7076	28163
Ahcyl2	5653	11458
Degs2	3574	1299
Mgam	11855	1294
Prkd3	6133	9961
Nod1	4415	2684
Slc14a1	3995	4126
Il4i1b	2300	6
Os9	4049	27125
Tmbim6	2803	76148
Mta3	7921	4633
Yap1	4169	13846
Mal	2778	5652
Obscn	28034	11857
Myt1	6395	0
Actl10	1501	10
Bag1	1349	16175
Triqk	1501	160
Bdh2	1171	237
Lman1	3714	21465
Lrrc56	2909	354
Senp8	3904	458
Vmn1r68	960	0
Ttc4	2762	2828
3110009E18Rik	1089	125
1700001C19Rik	1895	170
Depdc1a	3323	689
Kdm4c	4401	2594
Cacul1	5790	17870
Strn3	4164	10056
Cuedc1	3189	4420
Rnh1	2015	26517
Zbtb25	1777	1003
Gramd1c	4092	723
Dhrs7b	1582	2150
Traf7	2735	11817
Hck	2092	562
Rbms3	8215	1517
Aimp2	1185	4505
Rbm41	6759	1536
Wdr17	7876	0
Dnase1l1	1614	2267
Dis3l2	3171	1880
Flrt3	4537	3663
Arid5a	5794	2871
Lrtm2	3679	360
Fam221a	2095	178
Dhrs3	2576	5390
Sphk1	3054	5586
Aspn	2351	716
Sphk2	4163	2809
Mrgpra2a	1271	0
Olfr376	1210	0
Fxyd4	554	58
Sirpb1c	1456	146
Sirpb1b	1496	61
Rlbp1	2422	16
Thpo	2512	492
Map1a	11912	606
Taz	1833	3350
C5ar1	2570	1286
Cacna2d2	5542	4
Camk2b	4166	3062
Smarca4	6475	21049
Shisa9	4844	13
Krt36	1665	55
Map3k9	11890	596
Gm37013	4621	0
Rasgrp4	4630	393
Tmigd3	2597	2
Serpinb2	2047	262
Rara	4339	5683
Aldoa	1824	125160
Orc4	5170	4522
Tfpi	3780	1908
Septin6	6697	3974
1700092M07Rik	380	15
Gm3646	359	26
Ifi213	7823	30
Myc	2399	13319
Gpr137	2780	2733
Gm9112	457	0
Fut7	2064	34
Nfkb2	3292	10821
Dbn1	3047	19871
Klk11	1449	0
Ubr2	7748	16467
Gm6760	604	0
Cpeb2	7066	3267
Cypt15	518	0
4933403O08Rik	1520	0
Gm13547	629	10
Zfp971	4205	1466
Spint3	554	24
Cebpzos	1513	730
Zfp967	3586	0
Zfp966	3586	0
Gm15319	2514	0
Usp35	4325	1257
Epp13	930	0
Fbxw28	1839	0
Eid2b	2424	586
Mroh4	3549	73
Aldh3b2	2161	5
Tldc2	1151	36
Zfp516	7817	11810
Gm7030	899	8
Mymx	976	0
Gm15056	797	12
Defa35	403	0
Defa38	454	4
Gm11559	1096	0
Defa30	390	12
Defa41	282	0
Defa40	421	0
Plekhd1	3527	150
Gm6588	2313	0
Zkscan7	5018	815
Olfr743	936	0
4933402N22Rik	1108	0
Npffr1	4575	0
Gm7102	1624	14
Defa42	463	0
Defa32	427	0
Defa37	404	0
Defa28	285	0
Gml	894	7
EU599041	1428	0
Defa43	351	0
Zfp964	1740	120
Defa34	376	0
Esp6	660	0
Apol11a	1134	0
Gm15881	3253	0
Gm4340	1258	0
Prdm11	10921	451
Gm11562	807	0
Duxbl2	2146	0
Duxbl3	2146	0
Pramel29	1826	0
Gm2026	4539	0
H2ac23	552	0
Zfp600	4306	1
Trim61	2229	2
Bfar	4557	6059
Gng12	4363	14803
Slc10a1	2197	3644
Gm4027	998	0
Gm8300	1872	17
Otogl	9009	0
Zfp970	4664	4258
H2al2c	336	0
Zfp616	4808	0
Slc25a13	3122	3647
BB287469	1851	0
Gm2022	1822	0
Slc25a22	2959	4141
Odaph	759	771
Gm13871	1293	0
Gm10471	3342	12
Gm21953	412	0
Myocos	741	0
Esp23	646	0
Esp4	552	0
Esp8	901	0
Esp34	1413	0
Esp31	1311	0
Esp36	1117	0
Gm8882	916	0
Gm3985	2515	0
Slc8b1	2881	6565
0610010K14Rik	913	2021
Ak4	5162	1414
Ube2i	3377	14547
Arpp21	12429	46
Slc5a6	3889	1657
Ect2	4117	9752
Slc2a6	2136	177
Slc45a3	3486	1512
Grb10	5233	2035
Sirpa	4349	4990
Gm5886	647	28
H2bc6	2510	275
Grin1	4372	70
Mrpl15	4201	3595
Sptan1	8080	100178
Golph3l	2841	6285
Gpr68	3361	238
Gal3st1	2608	969
Ablim2	3761	340
Homez	5826	755
Arfgap1	3025	7459
Cyp26b1	4849	836
Gm2897	1978	0
Madd	6217	5641
Nr1h3	2036	2217
Plch1	7011	6288
Gm10767	1652	208
Tsc22d1	5984	77725
Pfkfb3	5284	10633
Tnfaip8	3948	7408
Rex2	3998	0
Clcc1	3600	5104
Slco1c1	3210	2
Fbxw7	4751	4458
H60b	951	56
Ahi1	5094	457
Dlg3	5637	1910
Rfpl4b	1054	0
Snap23	2223	8543
Sertad4	3401	1236
Rgs20	2513	54
Afap1l2	4075	322
Taf6l	2499	751
Eif2ak4	5248	4704
Rapgef3	3834	1432
Wbp1l	4105	28580
Gm10324	1920	0
Smox	2262	5576
Otub2	3715	488
Frmd4a	7937	11189
Tirap	4868	3900
Asph	12476	8959
Olfr1053	943	0
Trim43c	1990	66
Sgo2a	5416	1695
Gps1	2161	8004
Phka2	5776	4746
Mfap3l	6824	158
Elavl2	4757	0
Igsf5	2277	1933
9830107B12Rik	3730	16
Rd3	4267	15
Zfp513	2476	3268
Eda	5111	102
Aamdc	893	685
Rpgr	6751	560
Gpm6b	5142	10979
Dcdc2c	3370	4
Naa10	1056	4358
4930480E11Rik	1486	0
Irak1	3955	13305
Acsm2	6738	4
Pde4b	6313	1694
Zmym3	6051	6490
Prdm16	8611	324
Sfxn3	3089	17853
Fmo6	1870	0
Txnrd3	2836	2353
Tfdp2	7645	7212
Rhox3e	648	0
Sult2a5	1046	0
Sult2a7	1102	0
Rhox13	1254	0
Wnk1	12052	47162
Gm5885	648	0
Ins2	583	0
Zpbp	3845	12
Wdr53	1420	823
Vegfb	1282	3823
Zscan4b	1754	4
Pfdn6	719	3584
Snx7	2171	4610
Psrc1	1773	1022
Nup35	2873	898
Nrg3	4036	0
Rps27rt	345	0
Mrps36	716	799
Gpr155	5022	1040
Gm14326	3308	629
Clec4b1	784	25
Mfrp	4275	0
Clec4n	1245	1831
Chchd7	3066	1622
Igll1	870	0
Ces2a	1964	2553
Frmd7	4708	249
Ccr6	2080	6
Ccm2	2104	4700
Tmem132b	7964	66
Gm4832	552	6
Naxd	1420	6107
Ankrd29	3256	250
Kcng2	2815	387
Adamtsl3	7285	762
Camta2	4947	3799
Olfr596	939	0
Caly	1627	7
Bend7	3837	2468
Usp34	12200	16398
Amy2b	1413	0
Gas2l1	5403	5698
Magt1	4450	12801
Gne	5740	4665
Abhd11	1699	3941
Abcf2	2894	9574
Aamp	1820	9807
Faap20	1519	1638
Ddc	2089	1458
Ddah2	1350	3775
Dcn	2104	14743
Dctn2	1925	15403
Hilpda	1106	8404
Dact1	3761	382
Dapk3	1824	4625
Dmpk	2876	3082
Dlk1	4811	90
Dbf4	2444	5062
Dcaf12l1	3534	28
Gm20594	334	0
Dcun1d4	4326	5467
Ddx19b	6750	4828
Ddx55	2799	2827
Dnajb11	3236	12332
Dnajc1	8583	7314
Jak3	4085	6894
Kat2b	4708	5589
Pdlim5	6812	37545
Kcne3	1718	872
Kcnip1	3243	11
Kirrel3	4908	862
Axl	5084	54628
Kif17	3915	30
Lancl1	4461	2964
Ndfip2	2482	8798
Lins1	5243	1156
Lsm6	3801	5467
Sstr5	2733	0
Krtap22-2	380	0
Dync1i1	2802	6
Cypt14	508	0
Ddx43	2209	22
Lysmd4	3632	1052
Mdga2	9834	16
Meis1	3441	2706
BC048679	690	2
Lims1	5144	15035
Mical2	7370	15607
Morc4	4409	2827
Cldn7	1453	2488
Prss51	1086	0
Galns	2586	3640
Cldn12	4076	8109
Gm13304	867	0
Gm1987	870	0
Gm10591	867	0
Cldn18	3120	3050
Dlc1	8475	3215
Kat7	5966	8782
Ndrg4	3374	1019
Nploc4	4685	11552
Nuak2	3132	2234
Pag1	8253	1155
Abhd12b	1261	0
Acp4	1278	3
Ect2l	3610	8
Pak3	8988	879
Kcnmb3	720	3
Phc2	4357	15450
Plscr2	1900	1612
Tmc8	2908	809
Ccer2	1050	0
Cfap73	921	3
3425401B19Rik	5547	950
Gm5294	651	4
Tex50	954	0
Nek10	3348	18
Pet100	1193	1211
Gm3336	1152	110
Gfy	1877	1
Tgfbr3l	1075	371
Pdzd7	3903	362
Cbarp	3294	2705
Tex13c1	2243	0
Fsd1l	9240	1416
Kifc1	2322	2426
Bbip1	2506	2093
2300003K06Rik	919	0
Commd7	3288	3365
Cngb1	6686	14
H4c17	405	2
Islr	2355	1137
Fam240b	1097	0
Fam240a	899	0
Srsf7	2748	10062
Dclk2	4196	245
Tpbgl	3037	242
Gm5741	328	56
Smpd5	1885	529
Lrrc3c	902	0
Trpc5os	3581	2
Smlr1	674	161
1700015G11Rik	388	0
Dcdc2a	8040	236
Arhgap32	11101	1143
Epg5	11967	6457
Defa2	424	0
Rp1	12293	25
Ccdc170	5652	40
Prr22	1350	35
Nuggc	2566	20
Colca2	1263	167
Sgo2b	3739	0
Plscr5	1414	4
Tmem95	1198	165
Fam181a	1406	0
Gm5901	1183	0
Dcdc2b	1280	41
Alkal1	858	0
Rgs22	4008	21
S100a2	315	9
Lrrc74a	1949	0
Gprc5b	4525	14558
Pld5	3901	32
Unkl	5024	1605
Vit	2720	48
Ccdc7a	1990	0
Cep43	3154	4251
Rcc1	2327	3102
Foxp1	7877	13882
H2-Q7	1536	0
Sulf1	4864	2556
Abi2	5974	2715
Nrxn3	9442	79
Map7	4195	1201
Postn	3406	19277
Aatk	6094	298
Ccpg1os	708	204
Ak1	2365	3850
AB124611	1307	436
Sfmbt2	9136	35
Frem1	9633	232
App	3357	99530
Ddr1	4075	18576
Coch	2683	20
Bcar1	3279	14370
Csrp3	973	6925
Ctbp1	2482	27438
Dctn1	4990	26484
Scgb2b7	517	0
Dync1i2	2787	22299
Adgrg1	3864	9722
Arhgef2	6355	22697
Myb	3777	48
Me1	3577	16559
Ralbp1	4340	13164
Gm7694	3833	1361
Itsn2	6216	8262
BC049352	1679	15
Syk	5272	5046
Tcof1	4629	7616
Tjp2	5376	35184
Gm15097	1998	0
Gm15080	2029	0
Vdac3	1423	11612
Rgs7	2568	22
Golga5	2902	5723
Dcaf11	2703	9527
Slc7a9	1984	16
Angel2	3919	4408
Pla2g6	3725	4259
Lgals8	3020	8066
Prrc2a	6858	33284
Tubd1	2070	426
Zfp942	3275	1640
Rabgef1	2888	6460
Wdr12	3376	3240
Olfr1564	1091	2
4930522H14Rik	968	0
Trp53inp1	5432	11909
Slc29a1	3343	20379
Lpin3	3523	871
Ghitm	3313	18824
Spc25	1846	1494
Macf1	23495	30558
Zmynd11	4747	17524
Gpsm1	3823	2476
Sncaip	3984	140
Opa1	6002	12019
Slc44a2	3764	21640
Ascc1	1578	2407
Snx5	2620	26316
Eva1c	2936	2774
Asmt	1191	0
Serpinb12	1736	24
Slc38a3	2726	15244
Agbl1	3369	0
Osbpl5	4158	5717
Sptbn4	9085	69
Kcnip4	2959	80
Maged2	2516	5020
Kat5	2816	5443
Epb41l2	4517	19585
Aldoart1	2052	120
Slc19a1	2390	3025
Gopc	4317	4839
Mat2b	2258	7577
Tnip1	3049	7402
Slc43a2	7232	4262
Tex14	4888	38
Acly	4427	26135
Cacng5	3834	2
Atxn1	10607	2835
Sult2a8	2243	8
Gm14440	3382	11
Gm4559	600	0
Cldn34a	636	0
Zfp94	2660	326
AI987944	2931	1189
Gm20822	687	0
Gm20877	1212	0
Mup18	887	0
Gm10229	570	0
Scgb2b19	527	0
Apoo	1261	233
Foxp3	3928	57
Cd99l2	3600	6487
Rpl34-ps1	413	0
Pnck	1676	85
Tmem164	7018	8374
Dnmt1	6325	10342
4931406C07Rik	2981	4370
Ei24	2376	6069
AW551984	4448	100
Pkn1	3538	10652
Fbxl13	2630	41
Camkk2	4889	5674
Vps37d	1544	168
Adgrb2	5497	118
Daxx	2874	3639
Topaz1	5177	0
Zfp839	3725	2086
Olfr1354	1095	0
Ift43	809	2795
Gask1a	3723	56
Mup16	881	0
Serpina3i	2193	232
Serpine3	1402	50
Pate1	389	2
Ankrd60	1102	0
Gm9839	1437	4
Ccl27b	1085	0
Gm2506	819	0
Gm11127	1344	142
Tac2	884	16
Tti2	5079	2174
Mup12	883	0
4933402E13Rik	2025	0
Mup14	926	4
Tmppe	6856	2996
Mup15	889	0
Mup17	886	0
1700013H16Rik	1224	0
Zfp963	2291	507
Pttg1ip2	710	0
Olfr612	972	0
Pifo	1127	0
Rubcn	5810	7708
Sbk3	3152	68
Gm16513	2901	0
4930415O20Rik	566	23
Krt83	1757	4
2410004P03Rik	1798	4
Msi2	6853	10439
Samt1b	984	0
Gm10662	1724	0
Tmem200b	1370	212
Ccdc136	4153	197
Nat8f6	1373	5
E330021D16Rik	1811	0
Hbb-bs	639	0
Cldn34d	1003	0
Apbb2	6937	9483
H2-Q9	1521	0
Papss2	3796	6525
Atp9b	5432	10893
Mapk8ip1	3461	771
Armcx4	9011	698
Crisp2	1469	16
C1qtnf1	4519	3723
C1qtnf3	2569	398
C1qtnf6	2428	3334
Rapgef4	7896	2428
Spp1	1658	593764
Clec12b	1621	14
Clec16a	6244	3621
Clec1b	1170	126
Clec4a3	1330	546
Clec10a	1501	578
Hdac7	5216	11843
Cyp4f14	2420	538
Gucy1b2	2717	15
Oprk1	4707	0
Kcnj11	3252	1538
Sprr3	1222	0
Myadml2	2307	291
Set	3101	49746
4930558K02Rik	1164	1
Recql	4782	2297
Zfp648	3644	0
Ifi207	3483	1972
Ptrhd1	4027	770
Gm20172	1551	0
Reep2	1926	85
Reep3	5550	14450
H60c	2817	0
Reep6	2016	6308
Retn	1286	23
Brd2	5025	33433
Sars	3704	25483
Cep85l	7361	1841
Gm2696	783	0
Mptx2	694	0
Jagn1	1260	3130
Gm11568	1144	0
Gm19402	854	0
Gm10100	397	0
Gm19668	805	0
Gm10142	399	0
Eef1akmt3	699	29
Gm11544	1357	0
Jarid2	6158	3472
Acr	1567	46
Jdp2	1881	2148
Gm14295	1311	225
Jkamp	1976	3592
Jmjd4	4445	1169
Josd2	1180	1603
Pnoc	2157	4
Jph2	4255	1340
Trim47	2195	4216
Scarb1	3100	7470
Tbx20	6892	804
Ssxa1	493	0
Zfp994	4880	989
Npy2r	3361	0
Ssxb6	522	0
Yes1	4608	6253
Yipf1	1322	2741
Yipf2	2177	1535
Iffo2	6214	8136
Abhd4	2698	8191
Ppp2r2a	4108	10080
Astn1	7224	2
Rxrb	2768	6222
Sorbs2	6867	29981
Cnot1	8914	27907
Cyb5r2	2772	56
U2af2	2202	15451
Nrxn2	6663	240
Arhgap27	5626	6002
Parp6	2714	2936
Kat6b	7337	5353
Fasl	1934	4
Gal3st2b	1185	2
Thsd1	4430	638
Gm14781	1360	0
Gm14496	2550	0
Tmem39a	2934	3787
Slc12a3	3299	12
Tyk2	4873	3753
Stat1	5356	2748
Scn10a	6420	0
Prl3d1	878	0
Map4	10320	29693
Arap3	5499	11612
Psat1	2491	12597
Ppfia2	6809	24
Papln	4375	172
Sun2	3809	13804
Lipk	2240	0
Gramd4	4447	12295
Dcun1d1	4745	5434
Clec9a	3294	130
Septin7	3238	26631
Golm2	4354	2664
Actr3	2746	53940
Atg16l1	3180	5147
Gprc5d	1385	12
Fam234a	2879	8216
Gsn	3031	46766
Mavs	3189	4671
Tmem200c	3213	0
2610528A11Rik	756	40
Smim18	587	0
Usp44	4149	23
Olfr426	949	0
Shisa8	1804	41
Fignl2	4208	812
Gm16404	650	0
Gm14625	650	0
Rnf223	1541	26
Spx	1579	179
Ano1	4585	30192
Trnt1	3539	3604
Fam160a2	10986	5790
F10	2693	5057
Gon4l	7584	6649
Slc4a10	5786	11
Zfp976	5011	276
Trip10	2458	12534
Jmjd1c	9117	13193
Miga2	3649	3470
Susd6	5065	12117
Otulinl	3068	670
Slc37a1	3623	5579
Ammecr1l	5353	5685
Ncoa6	6872	9866
Nit1	1374	2731
Fam187b	2673	141
Gm7903	3836	0
Gm3317	1743	0
Zfp973	1335	0
Zfp965	1295	0
Gm3264	2008	0
H2al1b	490	0
H2al1c	318	0
H2al1d	318	0
H2al1f	318	0
H2al1g	509	0
H2al1h	442	0
H2al1i	318	0
Btbd35f3	1949	0
Spin2d	1015	0
Aadacl2fm3	1206	0
Col6a3	10841	12156
Btbd35f16	1960	0
Btbd35f15	1960	0
Samt1c	986	0
Samt1d	984	0
Zfp939	2494	334
Btbd35f27	1943	0
Gm16445	971	0
Gm4070	9036	0
Adk	1952	9890
Ap1b1	4543	9305
Dlg2	8022	87
Arntl	2929	2412
Atp6v0a1	4754	15367
Bcat2	2045	5194
Nr1i3	1414	2013
Cav1	2767	20496
Zfp433	2532	0
Sema3a	7288	2774
Cep57l1	2387	853
A630095N17Rik	767	2
Gm3776	874	338
Gm11837	1028	12
AI182371	2892	2005
Gm6408	1191	0
Gm3404	1130	0
Gm6370	1162	0
Gm3402	1154	0
Gm3409	1154	0
Gm3415	1177	0
2010315B03Rik	2759	1161
Fam193a	5541	7004
Tspan2	4362	2472
Zfp981	3191	8
Gm13286	549	0
Gm13290	968	0
Alg11	4964	6577
Gm13289	968	0
Gm13279	968	0
Gm13288	2850	2
Gimap4	1810	523
Rgsl1	3745	8
4930444P10Rik	1844	0
Cacfd1	3474	3663
Gm4791	1021	0
Lactbl1	1954	0
Ccdc85b	4401	4900
Mif4gd	1840	3176
Itch	5389	9432
C87436	3198	1863
Rassf1	2130	2939
Ciita	5997	393
Clcn5	4353	3108
Cdc42	3004	34872
Esrrg	5933	341
C7	2709	204
Fam124a	3557	383
BC024978	2756	472
Gm14322	4057	88
Zfp383	2620	742
Trim34b	1535	23
Pramel42	2064	0
Btg1b	825	0
Vmn1r90	930	0
Pax6	4761	9
B4galnt1	3289	10098
5430401F13Rik	602	0
Gm8765	3109	0
Esp15	1169	0
Gm9573	5231	6
Gm10377	847	0
St18	6161	12
Faiml	785	0
Esp18	1257	0
Celf1	7965	25720
Sall2	5336	1732
Col25a1	7481	21
Lcp1	4337	6266
Zkscan8	8899	4655
A630023A22Rik	1334	28
Ms4a18	1385	0
Ggnbp1	1784	662
Gm38425	1688	0
Esp3	1316	0
Ly6c1	1645	1596
Cacna1a	7929	1622
Gga3	3681	2987
Dnah7a	12272	2
Greb1	8260	160
Hs3st4	3230	10
Zswim8	6073	15029
Zfp384	3665	6673
Rbmxl1	2391	5173
Etfbkmt	1690	2666
Cadps2	6043	385
Tmem106c	1635	2952
Epn2	5960	12799
Eya1	4345	120
Amz2	3082	3736
Map4k4	5974	43295
Kcnj16	4027	61
Rpl31	1253	25939
Nbr1	5133	19945
Nf2	5298	7958
Npm1	1718	88094
Ica1	2075	1455
Ogdh	7106	24661
Mest	2777	721
Tafa5	2908	135
Ncor1	11144	21572
Shmt2	2305	8194
Pan2	4453	6503
Slc6a15	3774	2
Septin8	6080	12714
Syt1	5192	50
Rundc3a	3050	996
Mybpc1	3981	1970
Nt5c3	1779	8064
Irf5	2646	1181
Slc25a19	2792	1398
Tafa2	4610	102
Tle2	3115	1034
Rpain	1214	1298
Dlg1	6111	21505
Mgrn1	4262	12566
D16Ertd472e	6160	1768
Phldb2	5891	36495
Tfg	1989	11752
Ppil2	2470	6218
Vrk2	1891	519
Strada	2543	1782
Cldnd1	2209	9624
Pou5f1	1443	2
Ptprs	6977	29353
Epn1	2568	14161
Ddx39b	1758	19636
Prkd2	3757	1750
Cyfip2	7029	275
Mlst8	3366	1290
Ranbp3	2822	9058
Bag6	4320	23314
Cpt1c	2797	398
Sh3gl1	2319	9247
Cd84	6253	1686
Tjap1	2595	6518
Prmt1	1508	16071
Slc30a6	2171	2378
Cmtm7	1137	1384
Marchf2	3966	4478
Smad2	9142	12108
Inca1	1377	402
Catsper3	1352	20
Osbpl1a	5306	4060
Rapgef6	11963	6448
Sorcs1	8349	32
Aftph	4045	7367
St6gal1	4836	23652
D430019H16Rik	5786	210
Lipi	2082	0
Ehbp1	5048	2754
Hfm1	5312	0
Nono	2468	39687
Zfp82	3396	480
Picalm	4193	37297
Cpeb1	3386	1048
Pqbp1	1334	4272
Slco2b1	4988	1692
Llgl2	3614	4051
Cacnb2	4450	1845
Ciz1	3294	7571
Cyp4a31	2509	32
Sec23b	3220	9564
Sh2d3c	3681	1733
Cybc1	2590	3752
Folr1	1407	38
Gstz1	2166	5411
Mllt10	7692	7775
Rad51b	2837	547
Matn4	2571	60
Oprl1	3314	16
Sez6l2	3799	157
Phyhd1	1793	2764
Serpina1a	1939	15004
Cttn	3223	51166
Slc35c2	2109	4127
Klra4	971	0
Sulf2	4186	8894
Usp8	4210	14261
Zfp410	5439	3958
Zmynd8	10113	10747
Tspan4	1569	10767
Smpx	1129	1157
Cars	3222	10609
Irf7	1859	868
Fut8	3982	11603
Spock3	3280	126
Csgalnact1	4584	2775
Ptgr2	3290	7800
Cdh16	3318	986
Smn1	1404	3325
Cdh23	11255	112
Tbc1d7	1261	1104
Hrh1	4445	349
4833439L19Rik	2674	10526
Csf3r	4047	1226
Ecm1	1900	42369
Kcnab2	3888	555
Ldlr	4533	14076
Albfm1	2241	378
Dmtn	4917	155
Smr2	813	0
Dhx30	4500	6459
Smc5	5868	13372
Fam214b	3495	3679
Kcnma1	7836	167
B4galt2	2522	2513
Serinc2	5550	3758
Mtfr1	3817	8577
Smarcad1	5542	6577
Slc7a7	2676	2765
Immt	2761	20607
Trpc4	4992	16
Dnajc12	1365	558
Patz1	3482	2230
Elmod3	2788	845
Zfp219	3317	7588
Elp5	1435	3389
St7l	5990	4183
Mbnl1	5884	20316
Msra	2135	1800
Atg7	4144	6830
Fstl5	4956	0
Ints9	2709	1879
Pdlim2	1651	3487
Fcer2a	2358	6
Tpm3	3340	94537
Fdps	1461	18177
Zmym5	5541	6266
Gpm6a	3554	144
Tdrd3	6139	3147
Anp32e	3260	21637
Enox1	3555	105
Ssx2ip	3701	4237
Prlr	13415	545
Def8	4107	4985
Tarbp2	1790	2538
Smim22	477	182
Slc12a4	3832	16363
Ywhaz	3919	68334
Racgap1	3065	8865
Elp3	3042	7417
Ano6	5711	26270
Ankle2	5259	7630
Tmem184b	3550	9625
Irx3	2363	4460
Atp2c1	5278	11259
Fibp	1240	6002
Prpf19	6333	25485
Cbll1	4007	1976
Tmem52	968	42
Tet1	14354	130
Scn5a	8547	3925
Tcf12	5061	9732
Tmem205	1102	3983
Itgal	5225	860
Mtf2	5261	6731
Pkm	3828	261245
Apbb1	3322	2921
Tssk4	1420	147
Prkar1b	3076	667
Slc4a2	4178	24552
Ecsit	1673	1915
Ncor2	8908	25225
Nat8f7	1276	0
Sez6l	6080	34
Akt1s1	3160	6474
Efcab15	1199	8
Lce3e	607	0
E030030I06Rik	2292	193
Il15	1285	450
Echdc2	1307	3437
Lce1k	663	0
Rnf128	3294	15737
Mospd3	1634	3044
BC035044	2612	22
Zfp850	6546	436
Ankrd66	1321	21
Esp16	1243	0
Gm1553	662	0
Ubox5	3884	1301
Gm5071	1035	0
Gbp4	4761	342
Bmp8a	2400	75
Hsf4	1753	1012
Esp24	433	0
Esp38	375	0
Rslcan18	2981	202
Eif3j2	2409	0
9330182O14Rik	2053	0
Krtap16-1	1891	0
Ccdc149	3385	1503
B020004C17Rik	2385	11
Gm5141	3279	182
Scgb1b29	404	0
7530416G11Rik	1161	0
Scgb1b3	419	0
Myo7a	7606	7748
Rnf6	3626	10560
Dtx2	2737	1790
Mtif3	5157	1760
Slc10a3	2021	1006
Mib2	4020	2804
Mtfr1l	2499	11534
Sun1	4133	13268
Nipa2	3989	2889
Fsbp	4572	23
4933402D24Rik	1756	2
9430069I07Rik	572	2
A630076J17Rik	666	15
BC107364	1159	0
Gm5108	543	0
Eif4g3	8611	13086
Wnt5a	6305	6944
Samt2b	919	0
3110082J24Rik	767	2
Smbd1	520	0
E030018B13Rik	1015	140
LOC666331	472	0
Rims2	7940	143
Agap3	4126	12661
Epha10	5905	4
Gm4724	4538	0
Gm38423	1237	0
9030624G23Rik	5293	102
Zfp995	2221	741
Gm10408	1571	0
AI837181	1545	5457
Zfp672	3643	827
Tmem250-ps	2683	4953
Gm3488	4082	4
Gm3500	1982	0
Usp17le	1885	6
Rpl31-ps12	484	7
Zfp811	3555	8
Kcnj12	4886	586
Ankzf1	3050	1879
Gfi1	3107	130
Ttc28	10687	2050
Dpf3	3772	76
Ctss	1360	15167
LOC100861978	1044	0
Slco1a5	2698	26
Eef2k	6716	4996
Asb13	2410	1798
Igip	1378	2390
H2-L	1064	6
Fign	9968	542
Zdbf2	13128	6
Ccl21d	867	0
Olfr1565	1084	0
Lce3d	560	0
Gm10681	1645	0
Gimd1	4159	4959
Gm20878	377	0
Gm21586	377	0
Ccdc30	4712	87
Pramel47	2299	8
Pramel50	1594	0
Mical3	9938	11196
Gm10228	550	0
Gm19345	998	83
Gm6902	1414	0
Tmem254b	1551	0
Tmem254c	1644	0
Plac9b	998	0
Cphx2	1662	0
Gm10256	1580	0
Gm10352	1580	0
Gm3376	1580	0
Gm21677	1580	0
Gm21693	1580	0
Gm21704	1580	0
Gm21708	1580	0
Gm4064	1580	0
Bin2	1981	541
Scgb2b3	367	0
Scgb1b7	421	0
Scgb1b20	420	0
Gm21119	2514	0
Defa33	427	0
Ascl5	567	0
Defa36	398	0
Gm21312	1246	0
Gm20765	1246	0
Prob1	4875	768
Btbd35f23	1904	0
Btbd35f21	1921	0
Gm21637	778	0
4930402K13Rik	1781	0
Ifitm7	865	0
Gm21319	1863	1
Iba57	4567	645
Gm2042	1840	0
Gm5795	971	0
Gm3411	1991	4
Gm3558	2055	0
Gm21293	1217	0
Gm6763	1217	0
Gm8764	1217	0
Gm21304	1217	0
Asxl2	9033	7679
Adam9	4039	52522
H2-T-ps	1289	248
Ube2w	4177	3934
Calcoco2	2029	4
Siglecf	2510	104
Olfr631	1550	0
Fbxw11	4494	11166
Cbs	2503	7181
Flcn	3854	6914
Arrb2	1988	4534
Prl8a6	1125	0
Hdac9	10866	1075
Ankra2	3281	3065
Nol8	4827	5517
Ephx2	2588	12463
Sorbs3	3453	3703
Nfam1	4298	948
Ly6a	1002	4588
Ager	1699	455
Haghl	2188	1518
Ndufs8	1027	6054
Enox2	3977	1666
Gabpb1	5702	3833
Scube1	7932	261
Pglyrp2	2877	2011
Clip4	5117	1389
Chka	2687	17754
Il15ra	2021	844
Insig2	2953	8532
Spag16	4892	0
