Geneid	Length	genome_mapping/Low_6556c3.rep6.RNAseq.mm10.sorted.bam
Vps13d	15849	8354
Cited1	1519	10
Dag1	5961	16781
Ism1	2965	186
Syt6	5343	5
Arc	3059	144
Nxf1	4049	7424
Agxt	1553	3
Ackr2	3012	12
Dst	30301	42770
Zc3h11a	4883	20435
Fer1l5	6419	628
Cops5	1739	6997
Crlf3	2396	1750
Rpl22	2497	31707
Hnrnpr	8165	7077
Gm867	1228	0
Chd7	11306	1603
Fam205a1	4146	0
Gm1966	8980	138
Fthl17-ps1	860	0
Ano4	4222	0
Clec2f	657	2042
Bmpr1b	6199	14
Crk	6005	12896
Zbtb24	4293	981
Crkl	5050	4271
Hoxa9	3229	2
Zmat4	4231	0
Acvrl1	3788	408
Spred1	7084	6195
Tbxa2r	2175	8
Adam17	4550	6755
Fgf5	2504	0
Fancl	1782	447
Foxn1	3264	5
Grip1	6398	103
Adck1	3472	608
Mea1	1195	2505
Pex5	3306	4137
Aldoart2	1692	4
Gm11239	1240	0
Gm11238	1240	0
Gm11236	1240	0
Gm11237	1273	0
Cav2	3350	10573
Treh	2048	1
Tmem216	1166	1174
Dazl	2964	0
Tpm2	3326	6619
Fkbp6	1792	0
Prkaca	2502	5396
Tnnt1	1030	109
Gm11780	1685	0
Ecel1	2985	0
Lamb3	4164	5713
Casp9	3899	1482
Rad51d	7705	1092
Apoc2	813	2
Sh3gl3	1648	14
Taf1a	2482	1429
Ly9	2591	96
Itga6	6018	47075
Tmem247	755	0
Snap91	4738	0
Meis3	1774	152
Stk16	2905	3548
Chrd	3504	244
Farsb	2539	4219
Ube2t	1133	667
Hbb-b1	631	0
Pih1d1	1424	1721
Disp1	5208	2104
Dmc1	2219	4
Prnp	3732	1087
Prn	3400	0
Fyb	4997	301
Gm44504	1187	2
Rcn2	2607	4454
Ndufv2	1637	3748
Rab18	3688	10690
Rtl5	4330	88
Cryaa	1214	0
Pomc	1325	0
Tnf	1653	666
Umod	2637	0
Kbtbd12	4628	5
Olfr1290	1286	0
Abca16	5240	0
Mroh2a	7502	36
Gm10267	345	0
Psme2b	1059	352
Gm1110	2385	0
Cdc20b	1560	2
Syngap1	6027	263
Lce1j	698	0
Scgb2b12	511	0
Speer4c	1190	0
Gm10354	795	0
Gm21671	804	0
Gm1979	804	0
Scgb2b15	425	0
Scgb2b17	425	0
Gm5862	804	0
Scgb1b19	282	0
Gm7361	804	0
H2ab2	348	0
H2ab3	645	0
Cldn34c4	820	0
Plcxd1	3547	42
Ace	5303	17250
Ifi27l2a	883	118
Anxa8	1879	30762
S100a9	524	393
Aoah	3191	151
Cysltr1	2979	94
Pbdc1	3423	1618
Sema4d	6040	2946
Gria3	5663	38
Pcsk7	4160	2057
Crtam	1939	6
Csmd2	13555	4
Itk	4671	2
Glrb	3253	100
Ctla4	1933	11
Invs	5900	1181
Mup9	882	0
Lrmp	2907	2231
Rasal1	3668	237
Rbl2	4925	2247
Tekt1	1636	0
Cnga3	3832	8
Tyrp1	2755	0
P2ry1	3899	832
Psmd4	1344	10559
Vasp	2251	12859
Hax1	1258	3792
Btbd35f13	1943	0
Sh3glb1	7489	38308
Pmm1	1302	1391
Gak	5626	10797
Msh4	3709	1
Ddx46	5715	10917
Rgs6	6101	0
Cyb561a3	3357	13990
Sftpb	1564	4
Deaf1	2733	1735
Trpc6	5066	8
Tjp3	3342	3951
Mtif2	3086	2572
Brpf1	4901	4578
Mroh6	3995	85
Magoh	692	3582
Elk3	4234	7869
Pcnt	9530	4734
Cobl	5728	245
Spin1	4641	13944
Ewsr1	4619	18037
Homer1	7736	963
Artn	2411	2
Tmem201	6306	1775
Syncrip	7714	15628
Shisa5	2510	8788
Nprl3	3206	1030
Atp13a5	4535	0
Adra1b	3567	16
3830406C13Rik	2775	826
Septin4	3630	63
Casp3	2610	18851
Bcl2l11	7137	3474
Vps25	1419	2930
Cask	8361	3161
Crabp1	802	18
Cck	854	0
Chit1	1851	2
Calu	3423	47209
Esd	2121	22265
Tcf24	3865	108
Eef1d	3009	15640
Adamtsl5	3559	676
Rangrf	950	420
Cbfa2t2	6080	1679
Tmem33	6404	4172
Bad	1521	2167
Gfra1	4750	838
Fmn1	14909	1434
Carf	5789	512
Tbx1	3467	6
Htr1d	3204	241
Mknk1	2699	1254
Nap1l4	2405	8121
Tead2	2359	6730
Rps6ka1	3450	5534
Cops2	3364	7408
Cnot6l	8814	4450
Nr1h2	2022	4814
Tle1	12173	4798
Thoc7	1184	2423
Arhgap9	2817	167
Ildr1	3042	0
Wnt11	3185	42
B4galt4	2381	30
Polr1e	3691	1046
Zbtb20	3329	2244
Grk3	6600	66
Dtna	7392	84
Tmem53	1230	117
Ppil3	1965	1108
Far1	5219	9856
Nox4	3868	34
Osgepl1	1947	481
Paqr7	4197	3564
Sgip1	5589	5
Matk	2327	99
Syt8	1661	2344
Trim3	3295	2613
Pafah2	3342	1940
D630023F18Rik	2667	8
Zmym6	5284	817
Pde1b	3735	105
Sae1	2630	8208
Eri3	1844	3182
Cd2bp2	3509	3018
Dapk1	5940	166
Mfn2	4828	4092
Dock10	7552	234
Ubxn10	4576	0
Dhx34	4345	1504
Fez2	4745	4427
Eif3k	1099	6225
Zranb3	5278	633
Cyp39a1	3106	1166
Podn	3331	106
Lyrm1	1510	99
Skint2	1277	0
Skp2	3411	1374
Antkmt	978	2386
Cdc27	5799	4433
Tbc1d5	5902	1534
Prc1	3102	3429
Plekhg5	4037	887
Scyl3	4689	1756
Abcg8	3749	2
Unk	3741	1928
Tubgcp2	3650	3344
Dlk2	1566	73
Csn1s1	1435	0
Csn2	1144	0
Dhx32	3329	5348
Stx2	3794	2179
Ncf1	2969	968
Klc3	2028	354
Anks1	7092	2436
Angpt1	4316	30
Lbhd1	1150	2
Traf3	7160	5717
Mllt3	6225	4392
Lox	4934	1700
Fuom	2420	480
Nfat5	13443	15420
Dao	2062	8
Ghrl	632	26
Elf1	4329	5984
Daam1	6319	4160
Arhgap24	4661	14
Otx2	2693	0
Pdyn	2547	199
Sigmar1	1645	4534
Nrap	5505	16
Ergic2	3935	2977
Ehmt2	4116	19227
Fam118b	2045	872
Foxp2	7072	0
Terf1	2268	1485
Brd4	6310	11569
AI593442	5833	0
Atl2	4148	2541
Rcan2	4172	18
Ssbp1	2637	3307
Xndc1	3246	184
Glcci1	6248	174
Pacsin1	4420	2
Olfm3	4980	0
Camk2a	5358	38
Rnaseh1	1457	1406
Jund	2878	19224
Pla2g12a	1901	1873
Tspear	2446	0
4933434E20Rik	2832	4361
Nup98	8200	4805
Sct	536	0
Alpl	2692	20
Kif14	8338	1288
Atf4	1729	15184
Esp5	1113	0
Gm44501	1229	0
Rskr	3245	19
Lrit3	6502	0
Mst1r	4744	4176
Nppb	669	14
Gck	2898	0
Tal1	4274	8
Csf2rb2	4739	301
Cebpa	2639	1140
Arhgap6	6255	683
Cebpb	1518	4477
Adh5	1687	10593
Mdm2	3099	3091
Crhr2	2945	0
Arid3a	5421	266
Emp1	3046	84032
Mrgpra9	1083	0
4933428G20Rik	1425	32
Fam110a	2224	1251
Pira6	5380	0
Cipc	4486	1861
Kansl2	3820	3384
Grap2	5620	23
Atp9a	4567	10308
Rad1	4678	803
Cd1d2	1244	0
Kcnab1	4152	121
Treml1	1250	3
Hgf	4148	30
Mme	6611	24
Sox17	4095	61
Tcl1	1641	0
Klf10	4021	5599
Pitpnm2	7359	1197
Psma7	1591	14392
Papss1	2917	10379
Sh3yl1	1892	1228
Exoc3l4	3525	1482
Oard1	1461	2144
Gbp3	3121	1222
Egflam	4893	39
Cpa6	1940	0
Adgrf4	3064	2
Crppa	5409	293
Dcstamp	2054	11
Tfr2	3747	1429
Tbc1d1	5836	4052
Zeb2	11707	1438
Cad	7137	7737
Lrrc40	2796	3077
Adarb2	7351	1
Cndp2	2256	3712
Hormad1	1921	0
Fhl2	1677	5385
Stx18	2518	1110
Brap	4151	3485
Atxn7l2	2631	1034
Amph	3231	0
Tgfb1i1	3904	103
Styxl1	1729	12
Pomgnt2	2583	363
Mpv17l	3567	187
Rxfp2	3431	0
Sass6	4376	877
Spata7	2233	468
Tsc1	7715	1965
Chfr	3423	2112
Glycam1	668	0
Radil	3904	19
Zfp12	5346	976
Sting1	2302	1929
Kynu	5111	12
Slc25a40	2838	527
Txndc5	3158	16614
Psd2	4614	0
Tfcp2	3326	1167
Klra3	1324	0
Brd8	5758	6429
Zap70	2721	20
Celf3	4173	88
Btn2a2	2983	13
Zyx	3976	7746
Mynn	5533	2079
Mgme1	3107	876
Scgb3a2	604	0
Pxylp1	3288	726
Stard6	1626	98
Gid8	5193	3022
Nell2	3579	148
Fhod3	6237	723
Agbl3	5595	285
Upp2	3645	18
Resf1	6149	5163
Fam71f1	1596	42
Tmem241	3347	509
Sidt2	4314	7217
Arhgap33	4447	195
Kctd17	1906	545
Pacsin3	2291	2318
Arntl2	2623	991
Jade3	4991	1313
Arhgef3	4560	7390
Tbpl2	1734	0
Zfp740	4856	6985
Prrt3	3924	7
Cflar	8441	7477
Clec2i	2407	10
Sh3glb2	1873	3443
L3mbtl2	3810	1707
Cpvl	1708	9
Bcl2l1	3256	8898
Ampd2	3905	6918
Wipf1	4778	1469
Slbp	1906	3252
Gapdh	1496	110312
Tmem255a	4155	30
Xpnpep2	3699	18
Mcf2	4643	0
Nxf2	2464	4
6820408C15Rik	1835	0
Mturn	5307	2278
Lrrc4c	4702	2
Tgm6	3546	0
Apoc3	746	0
Rnf32	1606	29
Rarb	3776	136
Spink2	822	2
Exoc1	6684	3331
Rufy3	6536	963
Pus7	4459	3230
Cryab	1226	50
Slc26a5	4616	0
Asic1	4911	563
Hadhb	2075	2018
Poln	3043	29
Ccdc63	2661	0
Dgcr6	1760	1896
Ovol3	2018	4
Clock	9925	4214
Nanog	2242	0
Zfp473	4249	62
Cox6b2	617	13
G6pc2	2148	2
Itih5l-ps	4374	0
Per3	6048	1425
Tns1	10066	5291
Csnk1e	5108	10396
Zfp189	3047	655
Cd83	2141	154
Rora	12321	421
Prl8a2	938	0
E2f3	5361	2667
Aopep	9141	2871
Egr3	4134	553
Ache	2212	22
Pemt	1237	181
Rbm4	2718	40
Gm21992	4992	53
Ccdc169	3324	8
Snx29	2812	338
Nudt7	3277	398
Ddit3	871	1226
2410141K09Rik	1719	0
Rgs21	827	0
Mtarc1	2142	8
Amot	7485	1724
Rcor3	4419	2309
Pld6	1959	10
Samd15	2063	13
Shisa7	6007	0
Plppr2	2773	512
Ism2	2526	13
Nrde2	3936	1949
Col12a1	11719	3069
Wnk2	8688	28
Igdcc4	6230	260
Vsig10l	3831	46
Slc26a8	3674	6
Prickle4	1392	4
Zfand4	3221	356
Map4k3	4189	3835
Plcb3	4259	19360
Zfp37	3722	350
Aifm1	2368	3578
Nmt2	4461	3976
Camk1d	7342	949
Oscar	1845	3
Ap1s2	4870	1180
H2bc4	774	4312
Tfpt	1166	945
Esrp1	3969	2
Atp1b4	4278	0
Sntg1	7262	0
Awat2	2125	32
Mybl1	4984	236
Cstf2	5731	3409
Rdh13	3077	875
Nkain3	6733	0
Traf2	3065	2684
Fgf13	3139	0
Eps8l1	4222	15
Snapc4	4491	1498
Flna	8371	155844
Il11	2007	85
Fmr1	4407	5079
Usp45	6007	1997
Ccdc106	2093	45
Ftsj1	3425	1085
Gabrq	5352	0
Inpp5e	4253	1715
Spaca1	1348	0
Abo	1795	0
Nfx1	6940	7002
Mzf1	3597	57
Ubap1	5771	3569
Gripap1	3749	2510
Relb	2200	2525
Zfp428	1227	394
H2bc22	646	17
Atp1a3	3637	133
Rnf185	3508	1494
Tdrd7	3963	4522
Klhl13	4244	22
Klhl4	3884	4
Rxra	5466	2948
Gtf3c5	2823	1576
Lpar1	3638	1241
Dmac2	2436	941
Med27	2602	601
Rhbdd3	2073	623
Trub2	4003	837
Tmem91	876	22
Ttc14	9548	4234
Zer1	4257	1148
Mid1	4270	711
Dolpp1	2458	953
Lrriq4	2701	0
Mospd1	2370	904
Slc31a2	1949	1057
Sun3	1301	0
Wdr31	2561	523
Mospd2	4093	1776
Blvrb	998	1135
Psip1	3929	16680
Map3k10	3669	1336
Ogt	5397	8701
Otud5	4262	5995
Vstm2a	3841	0
Acer2	4665	2489
Phf6	4420	2592
Tek	4702	72
Swi5	780	5054
Plp1	4028	106
Ttc16	3816	5
Syne4	1354	18
Ift74	2626	1315
Lin37	1124	446
Ralgps1	6308	320
Kmt2b	8484	5770
Ppp1r3f	3492	609
Pbx3	2854	1238
Eqtn	1287	6
Prickle3	2410	467
Mapkap1	3688	2902
Atp4a	3497	35
Vps54	4569	2577
Gapdhs	1606	138
Reps2	7724	104
Ugp2	3100	2740
Cntrl	8073	2734
Dock7	7164	7273
Rp2	5142	3410
C8a	3635	0
Lhx2	2820	8
Insl5	1143	4
Golga1	4868	1590
Scml2	4881	2
Ahsa2	3716	1411
Mbd5	7055	1150
Pomgnt1	2912	2928
Tanc1	7939	3239
Cd302	1350	287
Kif2c	3081	1583
Csrnp3	10996	0
Chac2	1330	642
Scn9a	9941	25
Cpeb4	7641	1844
Tmem14a	1351	192
Nsg2	4017	0
Kcnc3	6956	12
Smap1	3041	2323
Shroom2	8537	493
Med8	1935	1491
Naa60	2425	2006
Col9a1	4143	0
Becn2	1789	0
Foxj3	5843	3055
Nudcd2	1583	3737
Zfp451	5740	2594
Meaf6	4638	1318
Tenm2	9779	2
Tmem54	1168	77
Pde10a	8424	24
Smarca1	5122	204
Ebf1	5543	108
Tcp1	2499	21331
Suv39h1	3371	3999
Sytl4	5039	14
Tsga10	4182	239
Ppp1r8	2290	2113
Sytl5	6623	710
Taf1	8032	4612
Hoxd8	2159	18
Osbpl6	9065	364
Cwc22	3787	2584
Cnot6	5765	9421
Gpn2	1356	756
Ppp1r1c	6243	2
Nckap1	4405	18768
Tbx22	3712	0
Rnf130	8200	526
Tmx2	2287	3039
Ephb2	10927	576
Tlr7	3979	108
Tbc1d9b	5249	5411
Nmral1	1792	936
Pnkp	2134	1394
Slc39a13	2416	2162
Sqstm1	2030	24978
Txlng	5686	892
Zfp879	2412	0
Accs	4172	413
Wdr13	4485	2758
Ldlrad3	3910	386
Sec24a	6798	2399
Muc15	3277	0
Aqr	5097	5412
Shroom1	3312	2502
Plcb2	5145	91
Wdr45	1656	3656
Ppp1r14d	811	2
Inpp4a	7000	1665
Tyro3	4822	888
Mgat4a	7251	2413
Cd37	1382	155
Kif3a	5450	5486
Haus2	3218	1667
Mrto4	1238	2807
Adal	2727	298
Aff3	7251	5
Sparc	2641	10524
Grk2	3451	7929
Zscan29	6334	1241
Glra1	2413	0
Pdpn	1839	118
Tubgcp4	4253	1610
Col17a1	5539	20
Cpeb3	6618	225
Trp53bp1	9624	3963
Serf2	3186	5864
Asnsd1	2442	3218
Wdr76	5687	1009
Trim11	2327	1302
Clstn1	4489	3922
Ctdspl2	6737	3630
Slc30a4	5482	4434
Usp29	14713	0
Kif1b	15024	6991
Sema6d	7207	1451
Tekt5	1764	3
Galk2	2792	1966
Astl	2498	0
H6pd	4951	29603
Pla2g10	1104	1
Tnfrsf25	1903	25
Nphp1	2297	1824
Rnf112	3186	0
Pigq	3295	3797
Lzts3	4319	485
Ap5s1	1601	735
Mapk7	3371	2000
Cds2	8985	8565
Il21	3178	0
Tmem220	1669	197
Nudt6	1083	854
Nudt3	2554	7058
Ypel1	3005	773
Usp43	4462	1160
Mcm8	3472	502
Snap25	2335	13
Cd68	1247	871
Elf2	6306	7255
Bfsp1	2390	592
Syngr4	964	6
Foxa2	2370	4937
Adam8	3117	3217
Polr2a	6734	15903
Golim4	4551	18997
Aifm3	2695	14
Pfkp	4186	11290
Nsfl1c	1486	6914
Gtf2h1	2907	3571
Snph	4750	6
Dpf2	3356	4616
Bpifa3	1110	0
Drap1	1020	11780
Gm3383	1880	0
Fgf11	3489	270
E2f1	3099	1641
Dynlrb1	1009	5997
Gss	1963	4324
Rbm39	3155	20997
Tgif2	2899	430
Phf23	2273	4144
Nnat	1336	180
Asgr1	1284	0
Rprd1b	4603	2141
Ralgapb	8766	6270
Rabep1	5496	4888
Dhx35	3310	1225
Emilin3	3558	0
Derl2	4154	3398
Ptprt	12174	2
Sgk2	3155	52
Tomm34	2369	2085
Tlcd2	1424	1221
Rph3al	3437	660
Timm22	3056	1750
Apba2	3435	0
Pcsk6	4298	5216
Aurka	1975	1660
Abr	6632	7164
Cdh26	2983	0
Ssh2	9313	2084
Tpd52l2	3652	5119
Rgs19	2059	1340
Pcmtd2	3572	3028
Myo18a	7590	21993
Kif7	4568	704
Sez6	4204	0
Slit2	10009	4624
Clip1	6066	8756
Cux1	15378	7566
Tlcd1	1710	426
Cct6b	1873	18
Lig3	5971	3122
Cpsf4	1791	1928
Hnf1b	2998	3490
Mrps23	1642	2455
Cib1	1030	4087
Nmb	692	48
Tm6sf1	2266	135
Hikeshi	3552	1752
Misp3	907	0
Chrdl2	1722	10
Anapc15	1041	682
Art5	1714	2
Pgap2	2651	1399
Dido1	21590	5548
Prkcg	3115	103
Hmgcs1	3577	13551
Rad51c	4366	169
Micu1	2376	4592
Foxred1	2361	749
Birc2	3444	1795
Pbx1	9280	24116
Xlr	2346	2
Tfdp1	2728	8873
Map4k2	4724	1250
Dok1	1805	3912
Drd1	3580	0
Dsc1	5007	0
Dsc3	5348	2
Rhbdf1	2939	4949
Alas1	3259	2201
Aebp1	4075	3226
Rhoc	1074	15940
Sat1	1278	15171
Adam19	6731	365
Lilr4b	1487	244
Lilrb4a	1500	362
Adcy8	5039	18
Adcy9	7840	1202
Cfd	922	5
Gm21379	1958	0
Zfp799	6350	335
Clasp1	7938	5782
Nme7	3017	2148
Cox4i1	764	25084
Kyat3	2279	309
Unc5c	9355	48
Ganab	3974	27091
Ppp3ca	4846	8414
Hmgb3	1798	5065
Slc37a4	2508	2032
Ktn1	4745	13131
Nek1	5619	1816
Ppa2	1383	2829
Mcub	1318	2061
Plcd1	2908	1035
Prkcsh	2090	13886
Rab7	2622	17384
Uimc1	3379	2318
Atp11a	7752	1882
Ctbs	2894	1200
Nptn	2425	11023
Xlr4b	1320	2
Ndst3	5838	215
Zwint	3727	6626
Vti1a	5157	2294
Slc6a17	6317	22
Ido1	1771	392
Adam32	2510	13
Cept1	6464	7510
Polr3gl	1427	1255
Plpp5	1555	2538
Pip5k1a	3676	6032
Pi4kb	3831	3968
Tuft1	2636	4786
Rorc	3416	802
Rab13	1636	2027
Dctn6	1703	3080
Pygo2	3633	8466
Chtop	3721	13108
Ddx60	5994	323
Ints10	4357	2785
Tm6sf2	1446	193
Tmem161a	3034	2666
Ocel1	1679	180
Pex1	4553	822
Gk	4529	1372
Kcnh2	4648	629
Dda1	1937	4429
Pgls	1167	2687
Cmc4	1011	100
Isx	1792	0
Zfp827	7609	3722
Ccdc130	2169	582
Preb	5452	5000
Ngb	1628	20
Mpv17	1811	1940
Apela	975	2
Rad23a	3184	2956
Mylk3	3253	6
Btg3	1428	3
Poglut1	3100	3181
Vgll2	1650	0
Oaz1	1075	36
Cap1	2787	25281
Olr1	3569	630
Edc4	4780	5420
Irx6	3369	0
Cast	4747	14854
Car7	2154	15
Kctd19	3048	2
Nrn1l	617	4
Dus2	1910	616
Dpep2	2032	111
Ap1g1	6875	8590
Rab27a	3441	1148
Capn5	4565	10848
Gm38666	4625	0
Gm38667	4595	0
Inafm2	3053	1318
Agtrap	4029	2904
Ctf1	1465	93
Cyba	759	8515
Cidec	1755	221
Gab1	4992	612
Arhgdib	1414	540
Hipk1	8451	15005
Oaz2	1844	2766
Gdnf	4867	4
Csn1s2b	766	0
Hnrnpk	3032	55125
Caprin2	3697	497
Apod	2074	66
Hdlbp	6640	43419
Hsdl2	2714	1918
Cdkn2c	2253	2417
Syt14	7938	0
Fst	2861	1198
Coro1a	1911	555
Pir	1601	1710
Serpina10	1609	0
Tspan33	2001	36
Smc2	5531	6214
Usp1	3595	4429
Slc7a1	7239	10220
Vsx2	3261	0
Usp15	11549	4956
Scamp5	3344	2438
Xiap	7202	6866
Pitpnb	2827	5646
Aup1	1705	6919
Sumo3	3221	7930
Rgr	4290	0
Adamtsl4	4036	3645
Mpdu1	1361	2231
Ccr7	1975	86
Atp5g3	724	10704
Fdx1	3439	1421
Dnm1	4131	584
Ptpdc1	4901	859
E4f1	2659	1561
Hes2	2915	0
Irf8	3433	572
Fgd4	8708	1117
Arhgap15	4643	34
Slc7a3	2416	128
Azin2	2802	1170
Stk11	3881	8377
Fkbp1a	1983	46529
Dlgap3	4369	6
Uros	3367	696
Gfra2	3487	210
Usp3	5578	3827
Cenpa	1581	3975
Vamp7	2578	1873
Erg	3466	32
Acsl1	4093	923
Gpr87	1508	0
Lmo1	1559	80
Flii	4057	16324
Atp5j	903	7521
Tmem138	2025	2048
Pmp22	2352	842
Aktip	3435	2903
Cnih2	1369	35
Mrpl55	1031	757
Nfe2	2793	16
Rph3a	4580	2
P2ry2	3066	326
Umad1	2250	1018
Cbln2	3175	0
Shox2	3262	56
Trpc7	3674	4
Zkscan6	2371	533
Ccrl2	2249	673
Cdc37l1	10635	2567
Marchf8	4623	7291
Clcn4	5432	2689
Plpp2	1651	7222
Ppt2	2187	1528
Phf1	2447	2968
Zfp422	3631	4011
Rnf10	3115	19025
Ing1	2935	4642
Sdf4	5705	7818
Itga10	5041	324
Pld2	6043	4147
Acy3	1284	797
Gzmm	1404	44
Gjb1	1809	2470
Tmub2	2684	2005
Galt	2021	814
Esr1	8765	228
Zbed3	2651	2426
Mcm5	3441	7794
Cfap46	8214	3
Zfp131	3771	2514
Lrrc23	1444	2
Slfn4	3964	163
Osbp2	4319	27
Eno2	2985	91
Ifi203	4891	1606
Ncoa2	8514	4352
Elmo2	4793	2524
Ldhb	1304	38
Mdm4	7354	5460
Cic	8967	10549
Nsun7	3939	25
Prdm4	4024	2366
Impdh1	2730	5463
Sh2b2	3279	126
Tle4	4883	682
Qsox2	3914	1317
Ttll7	7472	4360
Gm21188	1743	39
Ap2m1	2937	20086
Gng4	3249	14
Fbxw27	1492	0
Rnf138	3178	1620
Ap3s1	1561	3681
Ubr3	8081	5245
Etv6	5696	5045
Mycl	3664	336
Folr2	1330	724
Il12b	2505	4
Agfg2	2935	1144
Traf6	6188	1772
Prdx6	2489	23595
Aldoc	2870	2034
Ambn	1917	0
Csnk2b	1386	1382
Ap1g2	2688	1227
Hus1	5074	1340
Srcap	10904	10377
Tmem265	1221	456
Rnf4	3257	7934
Cgnl1	7233	14952
Eif4g1	5439	55385
Tmem132e	4415	2
Mlh3	5517	2077
Gm4737	2087	168
Slc9a8	4875	2900
Stil	5434	775
Vezt	14025	2546
Arf2	2776	3695
Atp5pb	1302	15257
Entpd1	4379	317
Mrln	446	2
Clk4	2159	1838
Col13a1	3164	12
Coq7	1503	965
Csk	3316	5753
Csn1s2a	1038	0
Pex26	4436	2033
Hdgfl2	2312	3806
Hsd3b1	1855	0
Kcnj3	5215	0
Maff	2597	6223
Nfkbie	2437	2056
Pou6f1	4953	1109
Ppp3cc	3009	834
Rab5c	1975	10398
Spef2	7157	15
Uap1	3084	9417
Sun5	1232	0
Spata19	853	0
Tex35	1025	2
Gm14296	8744	0
2210418O10Rik	8745	0
4930512M02Rik	729	0
Cd320	2415	909
Plekha7	7179	3087
Ccna1	1585	4
Rnf25	1479	1321
Retreg2	2676	5417
Dtl	4253	2502
Psmf1	3559	2248
Api5	3797	10540
Mcm10	3944	1083
Duoxa1	1543	11
Nub1	3278	5056
Rngtt	4157	1562
Cnr2	4337	42
Mpdz	7568	1994
Pigo	4306	1689
E2f2	5002	418
Mad2l2	1457	1460
Stra6l	4046	18
Tmco4	3944	1247
Olfr785	939	0
BC037156	430	0
Olfr789	939	0
Pter	3706	890
Spry1	2493	3291
Bglap3	1268	12
Plppr5	4295	0
Gpr61	3157	0
Apoa2	936	36
Hars2	3270	2563
Cenpi	3692	695
Pla2g4a	3051	5099
Kifap3	4010	3337
Bcs1l	1901	848
Themis	6389	2
Vps28	1042	4152
Glis3	7514	5029
Wdr44	4178	663
Usf1	2030	4539
F9	2735	0
Midn	3727	8309
Ttpal	4523	1467
Pank4	2716	1151
Ntng2	1924	35
Gzmn	991	0
Apoe	1586	23199
Limk1	4013	854
Mro	2627	4
Bckdhb	1621	271
Kctd6	3405	543
Arx	2868	0
Gdpd2	2773	4
Diaph1	5796	13777
Coasy	2138	2504
Cnpy3	1902	2936
Ggt1	2539	4
Spsb2	1372	774
Il13ra2	2279	20
Adipor1	3448	11385
Itga3	5263	63206
Itih1	3089	6
Rptor	7022	4386
Dnmbp	6287	5291
Sh2b3	4616	3666
Mbd3	1643	6078
Car12	3716	136
Ccdc116	4280	32
Scfd1	5027	4228
Mmp11	2288	1799
Ints7	5349	5003
Mvk	1732	1077
Trappc6b	1522	2873
Nfkbib	2125	1322
Creb3l4	1786	148
Nr4a3	6702	98
Trim68	2391	407
Cutal	2352	67
Ttyh3	4659	8963
Hhipl2	2915	17
Gpr108	2308	3399
Smim4	1355	452
Nadsyn1	2645	906
Tnfrsf23	3358	4457
Zcchc4	6976	1275
Cdk5rap3	2556	3974
Dnajb1	3227	7234
Stat4	3151	22
Fhit	1256	2
Rnf103	3463	2545
Zfp51	2576	689
Enpp1	6781	8965
Nek4	4245	1651
Sema4f	4086	876
Siah1b	2106	458
Pigbos1	499	246
Gm13090	746	0
Secisbp2	3317	1780
Gm27021	1007	0
Aldh2	4155	44685
Alox5ap	1014	479
Porcn	2761	7108
Mtrr	4509	1766
Cdkal1	6325	1534
Gm13030	655	0
Vegfd	2018	145
Gpr50	3069	4
Nnt	4860	4409
Il2rg	1663	212
Mrgpra6	3700	0
Aqp4	6007	0
Lrrc31	2103	0
Gm10037	686	8
Sprr2a3	852	115
Zfp141	4096	707
Robo4	3785	74
2610042L04Rik	1885	0
Gm3636	1724	2
Gm45915	2124	14
Speer1	1266	0
Clec7a	2285	456
Gm44805	644	0
Cox16	2793	400
Synj2bp	10825	4072
Gm20498	2805	0
Scamp3	1579	571
Gm45927	2938	0
Gm5861	1153	0
Clcf1	2092	4145
Gm45929	1549	0
Atf7	7651	7732
Dpm1	2293	46
Adnp	5128	99
Tmem218	1147	358
Nelfb	2866	5054
Obp1b	716	0
Ms4a4a	996	449
Dnah7c	12282	20
Zfp119b	2174	133
Ppp3cb	3831	5717
Crocc2	7428	56
Synpo2l	4627	13
Impa1	4185	6154
Mei1	4078	0
Ly6g	936	0
Atp6v1h	2063	4586
Kdm6a	5935	2082
Slmap	5455	12057
Cdk14	5401	1417
Gm21190	1167	0
Gm21083	1195	0
Mapk8	5827	2192
Malrd1	6740	0
Cdk16	3650	6320
Cypt1	678	0
Cphx3	1664	0
Reln	11698	4
Pde4c	3295	15
Rint1	3298	1836
Osmr	4835	3046
Eloc	2189	5126
Fam126a	6315	4095
Serpina16	1532	0
Asic3	1942	21
Asb10	2650	5
Trps1	10343	1648
Mgst2	602	4075
Lmbrd1	5509	3345
Bend6	2438	1215
Ankle1	2772	364
Rhox2a	832	0
Osbpl7	3579	856
Cnpy1	3841	0
Kansl3	4741	8770
Mbnl3	8829	1161
Mapre3	2021	601
Zfp423	4995	22
Ankrd23	2365	330
Stmn4	1445	29
Khk	1590	724
Zbbx	2479	0
Chd9	11565	2649
Zfp92	6741	0
Ankrd39	2050	445
Txndc16	4062	224
Atp2b3	6931	1
Prss54	1590	0
Tpp2	4691	7846
Scrib	5624	7473
Nabp1	2838	1249
Msantd1	2793	62
Olfr1055	1041	0
1700088E04Rik	1365	31
Nt5c1b	2029	2
Psma6	1103	9591
Tmem260	5632	2901
Mob4	2826	3945
Lrfn5	5633	0
Mef2d	5562	9396
Rab28	1905	1724
Mtss2	5006	475
Psma3	2398	10072
Paqr6	1670	9
Fam126b	8915	1432
