Geneid	Length	genome_mapping/Low_6556c3.rep5.RNAseq.mm10.sorted.bam
Trps1	10343	1500
Mgst2	602	3128
Lmbrd1	5509	4004
Bend6	2438	1557
Ankle1	2772	381
Rhox2a	832	0
Osbpl7	3579	846
Cnpy1	3841	0
Kansl3	4741	9529
Mbnl3	8829	1200
Mapre3	2021	771
Zfp423	4995	145
Ankrd23	2365	1130
Stmn4	1445	48
Khk	1590	1155
Zbbx	2479	0
Chd9	11565	2753
Zfp92	6741	2
Ankrd39	2050	525
Txndc16	4062	632
Atp2b3	6931	5
Prss54	1590	1
Tpp2	4691	10419
Scrib	5624	8804
Nabp1	2838	1791
Msantd1	2793	70
Olfr1055	1041	0
1700088E04Rik	1365	49
Nt5c1b	2029	5
Psma6	1103	11983
Tmem260	5632	3048
Mob4	2826	5693
Lrfn5	5633	0
Mef2d	5562	10279
Rab28	1905	2380
Mtss2	5006	562
Psma3	2398	12623
Paqr6	1670	6
Fam126b	8915	1838
Trim5	2495	207
Spryd7	4144	929
Lgi2	6372	2317
Pmf1	1078	4096
Cog4	2967	5948
Gata4	3408	3987
Lias	2884	2308
Mlkl	2030	3149
Scgb2b21	510	0
Akr1cl	1372	0
Ube2k	4882	7446
Scgb2b18	520	0
Fmnl3	4436	11604
Pikfyve	11423	2869
Krtcap2	601	6846
AF067061	900	4
Psg16	5159	2
Slc30a9	3410	6499
Usp10	3730	9042
Guf1	5018	1762
Gm21761	885	2
Scgb1b12	417	0
Crispld2	4186	1805
Ociad2	2510	11730
Pdcl2	1192	0
Stap1	1225	68
Pmvk	1705	2218
Spdye4c	1020	6
Rpe	2724	3129
Zfp442	7164	432
Ccdc122	1822	505
Gnrhr	3195	10
Cldn34c1	3317	126
Cnmd	1458	7
Rassf6	1998	3044
Scgb2b11	520	0
Vwc2l	4655	0
Igfbp2	1415	1107
Scgb2b1	526	0
Vps9d1	2829	2031
Usp37	7358	3231
Art3	1748	406
Zmiz1	7521	16784
Zfp142	6483	1735
Zfp111	7221	861
Caps2	2838	2
Il6ra	3377	2123
Bmp3	6302	26
Obsl1	6057	1210
Scg2	2722	136
Prkcd	2853	11227
Fbxo17	1976	331
Ntpcr	2278	1237
Kir3dl1	1555	0
Slc26a1	3854	148
Mff	2101	6287
Armc9	5259	987
Smok3c	2331	0
Scyl2	4839	5390
Slc16a4	2546	295
Lrcol1	962	0
Slc17a8	4716	40
Ptbp2	3364	5147
Cabp1	1909	12
Agfg1	7940	11012
Cypt3	681	0
Mmp27	2132	38
P2rx4	2702	3509
Cnksr2	7165	272
Cep57	2848	1408
Gemin8	1971	696
Kmt5a	3178	13006
Rps15	631	62345
Mre11a	5766	3303
Rnf220	3512	4435
Gpr83	3586	2
Egf	4788	107
Siglech	2483	49
Cibar1	1906	2683
Fbxo7	5608	983
Ubl5	3189	4757
Znhit1	1340	2563
Pde4a	5578	1592
Dapp1	3087	2090
Hsf3	3434	2
Mterf4	1330	1000
Spdye4a	2085	0
Zfp653	2212	751
Tenm4	14048	6823
Thap4	2230	3911
Tex26	1507	10
B3gat1	3865	0
D2hgdh	3506	978
Glb1l2	3737	24
Neu4	4591	0
Ankrd61	1757	79
Gin1	2785	629
Marchf11	1573	0
Sspn	4570	2692
Rnf214	4246	3391
Tac1	1049	6
Ing3	3800	1449
Nnmt	1013	478
Ccdc192	1013	0
Ndufa5	620	2287
Dixdc1	5809	384
Mbd2	2350	11622
Grm8	3912	2
1110032A03Rik	3502	562
Lingo1	4384	62
Zc3hc1	1861	2739
Klhdc10	5937	8488
Pml	5377	5041
Lypd1	6604	32
Il20	1031	0
Celf6	2997	2
Tmem209	3714	4450
Rassf5	3738	1571
Rab7b	4498	787
Sema6a	6896	383
Iqch	3678	5
Rps27l	688	7076
Zfp280d	4372	1863
Khdc3	1686	8
Tmcc2	4183	465
Mkrn1	3251	5502
Senp6	4960	10652
Tpk1	2671	689
Ccdc126	2425	800
Svs3a	1201	0
Kbtbd4	2594	1263
Larp4b	6073	12874
Hoxa1	2474	19
Msh3	3948	2150
Elovl2	3963	143
Carmil1	5186	6056
Trpc1	4549	495
Celf5	8482	38
Prl8a8	1221	0
Unc5a	3995	119
Prl2c5	973	17
Xrn1	10278	4183
Ube2v1	2069	3376
Akr1c20	1329	23
Rnf7	1232	3745
Klhl12	3263	2101
B4galt7	2300	2243
1700037H04Rik	1423	2235
Dennd5a	5003	8361
Bmf	5089	3301
Il12rb2	3094	82
Dzip1l	5104	5156
Xpo6	4548	5786
1110051M20Rik	5946	684
Tnfrsf22	4218	4038
4930402H24Rik	6927	5636
Nek7	4304	8095
Pccb	2306	2553
Parp3	2977	2728
Sema3f	4034	3031
Rnf123	4801	2956
Tcta	1840	1079
Usp4	3684	8103
Fbxw14	1499	0
Ctsc	11061	19042
Ttc6	5901	42
Ctsh	1623	15186
Ror1	7048	1217
Eif4h	2494	30894
Tgfbr1	6023	11006
Epo	715	2
Gdf7	1423	0
Grhpr	1281	2099
Cryba4	809	22
Crybb1	980	14
Gad1	3970	4
Ptch2	5119	163
Kcnn2	3692	51
Hnf4a	4658	19557
Cux2	5189	109
Ksr2	6108	47
Ephx1	1739	3633
Ihh	3049	111
Sh2d1a	962	6
Timm17b	1792	1651
Mcm6	4431	21248
Ube2a	1730	2244
Bcap31	1403	12727
Pkp1	4670	846
Mtmr1	4736	2249
Rgs5	4546	4558
Prdx4	983	3639
Sp100	4034	1685
Hnrnph2	2474	6223
Acot9	1810	4455
Cltrn	1417	6
Cyp20a1	2246	4232
Trappc2	1432	514
Tuba4a	2329	15308
Fam3a	2030	1178
Cul3	5047	15725
Apool	1341	1103
Asb11	1658	193
Gorab	2685	1401
Hdac8	3100	738
Asb12	1596	4
Stk26	3333	177
Fundc1	3086	3082
Gpr173	5118	26
Sash3	2681	825
Ophn1	7504	621
Acvr2b	10666	1143
Prps2	3710	2288
Tlr8	5047	1313
Cdk5rap2	11840	4920
Vgll1	2297	0
Il7	3590	115
Hmgb1	3193	17815
Lta4h	2066	6992
Prmt5	2720	8583
Thbs1	5848	53915
Plk3	2378	3129
Eif2ak3	4837	2690
Hif1a	4963	26935
Nos2	4296	2359
Actg1	1953	93802
Asgr2	1445	277
Crhr1	2610	0
Cryba1	801	2
Calm1	4287	106386
Grb2	2916	7865
Cd79b	1231	95
Krt13	1738	835
Krt14	1720	1875
Krt16	1568	160
Rhoa	2455	43608
Krt19	1415	113214
Aldh6a1	3603	3376
Ltc4s	660	479
Vip	1529	0
Ppp1r1b	2114	1062
Rdh12	1678	310
Prkar1a	4058	32696
Prkch	3642	832
Colec11	1442	115
Srebf1	4522	12685
Eif4e	5115	10032
Tcf7	2737	1910
Thra	3186	3298
Ubb	1620	20809
Unc119	1531	1086
Scn1a	8320	0
Atg5	2379	2893
Ahr	5494	5375
Dmd	14263	830
Itga5	4470	17677
Il6	1141	486
Mpz	2035	84
Adcyap1	3545	20
Bmp4	2059	1602
Etv4	2333	5188
Map2k4	4237	5759
P4ha1	4114	13602
Pctp	2844	645
Kcnk10	8193	20
C8b	2239	220
Prkcb	8829	1228
Sgpl1	4142	10526
Mdh1	1958	10382
Ptpre	5642	5467
Sh3bp1	2515	1109
Nr5a1	3180	5
Slc27a3	2298	520
Ern2	2988	228
Mapkapk3	2816	2742
Ica1l	4289	52
2810408A11Rik	1922	391
Mier2	2605	2098
Gprin1	4348	26
Nkiras1	4996	418
Nudt16l1	1352	1824
Ddo	8660	28
Prl8a9	941	0
Cdh4	6730	22
Nudt14	1259	1337
Rnf167	2063	1669
Qpct	2059	296
Prxl2a	2040	12577
Mrpl2	1066	3399
Cdh7	4998	0
Tspan14	2625	6032
Rasgef1a	3582	185
Kdsr	5721	4089
Prpf3	3420	4314
Hmgxb4	4203	2337
Cnbd2	2683	251
Spata1	1961	288
Cdh10	3548	47
H2az1	1069	37793
Clps	550	2
Fgg	2112	12128
Ago1	7365	4347
Myl6	851	35330
Mtch2	2647	7739
Bub3	2112	6080
Ahrr	4754	50
Kif12	2260	226
Lamp1	2232	48385
Cish	3014	1392
Pld3	2372	4180
Cd55b	1368	0
Dsc2	4665	2159
Prdx2	1553	22987
Col5a3	6112	11039
Large1	4747	2007
Tyr	6042	0
Clcn7	4203	3444
Col11a2	6604	182
Ttpa	3275	468
Prkn	3824	44
Col24a1	7143	184
H3f4	563	2
Prss36	3028	152
Myo16	7226	29
Ryr3	15441	17
Nmur1	1387	0
Mmp7	1115	28
Mmp12	3706	7833
Mmp21	1858	4
Mmp23	1434	841
Mmp28	3528	1875
Klk1	958	8
D830030K20Rik	1798	6
Cers2	2234	28852
Rcor2	2854	1035
Setdb2	2991	34
Gm45935	3895	0
Frmpd3	7314	0
Lipo2	2805	5
Lipo1	1697	0
Gm8978	1780	0
Lipo4	1292	0
Klk8	1326	50
6720489N17Rik	2756	347
Gm13212	3512	128
Lipc	2098	82
Smc6	5994	8889
Bag5	2505	2917
Il10ra	3498	2267
Gpatch2l	4356	2775
Adam3	2736	12
Tmed1	1746	1515
Tmem251	1255	1301
Gm5767	524	0
Sntg2	2413	13
Mlh1	2598	1471
Sycp2l	2520	0
Gm7827	1366	4
Nck1	2598	2080
Rab3d	3948	5587
Rpl29	1169	25049
Slc6a16	3195	2
Spa17	987	119
Stac	2644	4474
Tecta	7708	12
Gm6712	2007	348
Gm4513	1517	0
Gm4565	1517	0
Zfp990	2059	3
Tipin	1863	2459
Morf4l1b	1710	315
Naaladl2	9713	61
Adamts8	4613	54
Rbm7	1919	4902
Aasdhppt	2870	1631
Thyn1	963	680
Suclg2	3809	6420
Zfp354a	4350	79
Top3b	3198	3527
Rhno1	2098	2624
Ccdc134	2053	1160
Tpst2	2532	5029
Usp5	3213	11427
Wdyhv1	1589	1095
Traf1	3833	1913
Uqcrq	1525	4364
Uty	5249	69
Igsf9b	16760	18
Ankfn1	5025	0
Creb5	7936	951
Magohb	966	406
Hspa12a	6045	182
Ptch1	7675	2971
Tgfb2	5200	419
Adamts10	4365	1803
Neurod4	3634	0
Gpx1	1047	25829
Cfi	2077	3200
Mroh3	3051	321
Clgn	4050	1
Gal	788	9
Ghrh	588	2
Ap4s1	1810	1006
Ripk2	2876	925
Inha	2336	149
Gpx3	1618	11214
Pea15a	2539	14935
Habp2	3080	258
Hp	1345	14533
Rhod	3346	1530
Muc6	9117	116
Insr	9391	5953
Cradd	1937	489
Itga7	4152	610
Fuca2	5714	1884
Fmo1	3435	421
Slc22a4	2285	350
Kcnj8	2548	528
Fastkd3	2804	1611
Poll	2677	1445
Tra2b	3676	9804
Gas2	3048	846
C1d	3348	4086
Gpr85	3667	133
Pvalb	1043	4
Gdf15	1852	483
Rps6ka5	5836	1290
Smim8	958	644
B9d1	817	775
Zfand1	1887	1480
Serpind1	2190	667
Has3	6028	2243
Hccs	2550	2007
Hdgf	2631	53633
Tfb2m	2459	1367
Abhd6	2386	1864
Adora2a	2830	2398
Alcam	5043	17567
Aldh3a2	5088	5528
Alox12	3032	59
Ggps1	5540	3733
Anxa4	2169	65686
Hsf1	2590	3805
Hyal1	3743	615
Eapp	4199	2934
Rnf181	1833	10996
C130073F10Rik	913	0
Trappc6a	827	1640
A930033H14Rik	2969	228
Zfp946	3067	1282
Med25	3946	5743
Ube3b	5181	8933
Lztr1	3670	9394
Ltbp1	7711	12213
Cenpc1	3563	2397
Ucn	644	0
Mag	2705	52
Ntan1	1181	3880
Rgl1	5326	3309
Pds5b	7314	5462
Parp11	4087	1274
BC028528	836	147
Plekha1	4043	3187
Inpp5f	5117	3120
Radx	3742	18
Gstt3	1894	883
Mbtd1	5712	2814
Phf24	9687	54
Slc25a41	1332	0
Dnal1	5886	779
Akr1c18	1199	82
Cyp4f15	2164	202
Cyp2j13	4381	0
Fam111a	3287	7140
Cyb5rl	6553	422
Nrd1	4514	11583
Nupl2	2911	736
Fbxo21	3915	3435
Scamp1	3977	4058
Chd4	6697	45903
Frmd4b	5350	7190
Grm7	4359	0
Zfp637	1647	2223
Clstn3	4070	46
Ube2q2	3260	2898
Rlf	6242	4684
Prr5	4620	1662
Stk38l	4617	3229
Msrb1	1307	3959
Actn1	3928	55436
Zfp33b	2757	873
Dgkg	5505	70
Rps6ka3	7451	8671
Tle6	2219	308
Mta1	2883	10394
Ube4a	8017	6070
Col26a1	2817	10
Acot3	3436	10
H1f8	1135	46
Hps1	4189	3514
Zfp871	11116	5248
Gm3055	4104	0
Ap1ar	2679	7071
Paox	1765	2218
Fbxl21	2297	117
Gnptg	1300	1415
Trim50	1456	1
Ginm1	1560	1885
Ccdc28a	2641	586
Fam222b	4079	1099
Plekhh3	3076	2993
Pyy	561	24
Gpr142	1141	2
Hid1	3276	2737
Cyp11a1	3137	37
Scaf4	4451	3961
Gm32856	7121	407
Nrxn1	10319	12
Grik1	4068	0
Axdnd1	3736	38
Snx31	2699	2
Lrp12	4314	1638
Oc90	1802	0
Gpihbp1	825	724
Lnp1	793	0
Crisp4	1369	0
Ly6l	842	0
Flacc1	1579	55
Gsg1l2	1158	0
Cfap54	10112	27
Cfap206	2301	0
Ankar	4588	0
H2az2	1636	3724
Spata48	2406	5
Xpnpep3	6058	2268
Tnpo3	4390	12068
Abca7	6720	3983
Poldip3	3301	9770
Fbln1	3859	8839
Exoc4	5930	4945
Ankmy1	3246	24
Atp5d	981	11909
Trmo	1741	321
Zcrb1	877	5110
Nipsnap3b	1552	2346
Cald1	4398	21882
Slc4a8	11878	319
Camsap2	7805	11194
Rgs8	6112	4
Gamt	1036	461
Mrps14	2229	3462
Zc3hav1	6604	7755
Plk5	2112	4
Vamp4	5303	2858
Fam155a	3326	2
Mup7	992	4
Mup8	886	0
Mup13	882	0
Fmo9	3065	64
Lmnb2	3780	3055
Map2k2	2537	6907
Krba1	8762	201
Mup22	991	2
Kitl	5456	6251
Glipr1l2	1904	4
Acot11	5776	521
Czib	1623	1595
Cers6	7063	1837
Srl	5007	1017
Zfyve9	6626	2223
Atp6v0e2	1834	102
Rarres2	845	3978
Hmga2	3817	13930
Mbd6	4293	4537
Dvl3	4857	4248
Skint4	4261	0
Nrros	3716	1872
Tctex1d2	838	422
Slamf7	3977	144
Slamf6	2903	116
Bicc1	5503	8393
Ipmk	5450	2828
Gucd1	3082	2343
S100pbp	4718	2071
Col6a2	6014	19782
Tra2a	2134	8163
Bpnt1	2235	4071
Pcbp3	2459	352
Nipal3	5630	1950
Kdm1a	3087	8854
Rpl22l1	556	7570
Usp48	5769	8042
Pcmt1	4936	5223
Pla2g2d	2258	58
Kcmf1	3564	10702
Gsk3b	8342	9076
Spen	12299	7965
Lsamp	9498	4
Oog4	1981	0
Naa50	4645	14197
Bbx	8933	6281
0610010F05Rik	4930	2890
Arl6	1951	741
Zfp654	6332	1968
Cdk11b	2988	6478
Tnfsf13b	1864	141
Rundc3b	3822	1053
Tet3	11741	6181
Gabrb2	8232	12
Fbxo25	2125	1455
Nek5	2418	16
Slc30a3	2261	6
Dnajc5g	1563	0
Nrbp1	2208	8975
Podxl2	3346	109
Slc4a1ap	3010	2476
Uroc1	3464	482
Zfp758	2974	596
Pisd	2969	3560
Capn15	5300	1565
Mtch1	2153	13324
Nr2c2	8086	3551
Rasal3	3752	521
Vwa7	4313	127
Jakmip1	4626	47
Atp6v1g2	1815	218
Cckar	2929	0
Klhl5	4699	2677
Rfc1	4723	6818
Aig1	2091	1426
Pde7b	5527	517
Adgrl3	13251	1629
Eya4	5446	140
Ythdc1	4268	9724
Mrps18b	1129	1955
H2-T22	3079	53
Tmed5	3960	7671
Med6	1128	2303
H2-M2	1432	75
Golga3	8095	6744
Ulk1	5214	3858
Abcc10	5794	674
2900026A02Rik	11412	7176
Mmab	2987	935
Trem1	3025	2703
St6gal2	6234	2
Dtd2	3120	1541
Rab15	3495	461
Crb3	1230	675
Erh	1121	6683
Arhgap28	5370	156
Acot5	1520	0
Mrpl21	1222	3368
Ylpm1	11052	5924
Peli3	4110	55
Slc22a29	2269	0
Wdr20	3845	2124
Rab3il1	4140	1681
Ninj2	906	4
Slc6a12	3027	136
Mfap5	1502	5161
Ms4a13	1389	0
Smarca2	6262	2101
Papola	4513	18631
Htr7	3738	151
Crip2	1603	12410
Dcbld1	3026	2334
Med13l	9322	7910
Trim7	2933	280
Ndufb8	2332	7419
Oas2	3957	1123
Svil	7424	8870
Oas1e	1715	0
Anapc16	1902	3800
Vps29	2842	5310
Psd	4309	831
Rad51ap1	1870	1274
Morn3	1323	26
Egr2	3429	1535
Akap7	5044	1156
Lama3	10631	7141
Rasgef1c	2740	2
Nt5dc1	2742	1206
L3mbtl3	4951	2494
Clec1a	3268	183
Ogfod2	1569	1197
Gm6619	602	0
Stard3nl	1735	3798
Hnrnph1	2693	22110
Mgst1	1405	8935
Mettl27	2899	176
Alkbh4	2119	532
Hfe	3572	2091
Erc2	6256	395
Unc5d	9220	0
Ccser2	7851	4446
Nyap1	3504	240
Gal3st4	2085	62
Irf4	4762	261
Cltb	2284	7373
Fgfr1op2	2836	8691
Far2	5096	212
Iqce	4443	1839
Tmtc1	8346	650
Rac1	2364	36034
Hsph1	3499	8190
Nkd2	4016	388
LTO1	4145	1273
Nr2f1	2495	1029
1110038F14Rik	1622	1711
Ifitm10	4076	215
1700010I14Rik	1878	2
Mfap4	1702	2013
Gm7579	1265	0
Gm39115	1141	0
Gm45618	1286	0
Mob2	2567	1743
Slc8a2	4709	10
Tollip	3854	6209
Lmntd2	2115	101
Nisch	6671	34567
Sh3bp5	4157	5379
Fosb	3776	16781
Ccnh	2076	1793
Ptprg	9326	2985
Fbxl3	4557	5528
Polk	4385	2790
Urah	1016	643
Dcxr	1789	694
Msx3	2355	95
Cenpx	1037	935
Pcyt2	1923	5077
Npb	549	30
Ppp2r2d	2177	3660
Bahcc1	10727	2944
Stard4	5419	7310
Tbc1d16	6988	1292
Hmbox1	8001	4507
Lmo7	6353	18961
Eef1akmt2	1081	919
Fam53b	5628	744
Dmbt1	6283	60683
Mxra7	3283	1069
Ybx2	1706	9
Fgfr2	5346	279
Tial1	4512	6106
Wbp2	1828	6754
Mrpl58	2723	2348
Otop3	2426	1330
Fus	1844	24342
Cd300lb	2867	667
Bcl7c	6558	1697
Cd300a	2025	757
Mylpf	808	249
Cdipt	1788	8252
Atxn2l	4579	10916
Bcl6	5022	2225
Cct5	2133	36968
Fech	2941	5179
Gnb4	8228	5350
Umps	3484	6362
Tsg101	1948	5876
Glrx3	2851	494
Apoa5	2529	2632
Ndst1	9112	15709
Spaar	4086	77
Cyb5a	852	14728
Lars2	4438	247560
Cyp19a1	3098	0
Kank1	5639	1142
Trmt10a	4439	1359
Mmadhc	1512	3681
Sp7	3171	2
Ksr1	5821	2410
Pycr1	2377	613
Uba52	1078	34808
Zfp598	3359	6417
Fbh1	3961	5521
Selenos	1220	4007
Twnk	4178	2728
Prpf40b	3532	2094
Ankrd49	2453	1235
Dok7	3935	237
Trpa1	4267	10
Htd2	2480	0
Smim27	332	82
Olfm4	2752	166
Ptprd	9109	280
Smim31	1505	1788
2610001J05Rik	3177	3658
Myo10	8509	13294
Txnrd2	1905	1280
Polg2	2682	449
Asdurf	583	0
Serpina3g	2276	673
Yjefn3	793	89
Zfp660	5659	14
A730046J19Rik	4707	0
Gm6803	787	0
Gm11213	684	0
Krcc1	3419	7402
Gm10509	2955	190
Cdr2	2549	1640
Cbx3	2062	5338
Cdk4	1420	21246
Cnih1	1531	10145
Cnr1	6518	27
Capza1	3191	13540
Rcn3	1453	6431
Cab39	4148	14507
Lcmt1	1988	1206
Map4k1	2913	505
Sigirr	1990	2420
Wee1	3419	1845
Cr1l	1921	4605
Mr1	2547	307
Entpd6	2865	1379
Ckmt1	1704	275
Macir	3684	5941
Ext2	4809	6210
Fkbp7	1014	1435
Hltf	5190	3620
Eri2	3569	1078
Emc10	1943	6288
Gata3	3215	229
Id1	1160	3494
Thap12	3673	5425
Paqr8	5438	1984
Mcee	847	760
Ccndbp1	1723	3415
Tm4sf1	3424	95292
Zfp819	2412	4
Mettl18	1516	421
Cyb5r1	2422	4208
Asb18	1580	0
Stk33	2661	2
Pip4k2a	3582	3765
Slc17a6	4407	8
Nlrp4b	3319	0
Ilkap	3090	4588
Plcb4	5692	317
Nuf2	2481	4010
Rpn2	2994	27073
Scn3a	9799	22
Slc6a9	3682	1637
Clvs1	3891	2
Erp44	5313	7080
Garnl3	4169	504
Meig1	1118	4
Zbtb7b	4793	7419
Ppcs	1446	845
Slco4a1	3320	2037
Psd4	5652	2252
Arl3	987	2430
Hs2st1	6220	13638
Plpp7	2073	54
Gata2	3353	327
Gpr162	2858	89
Strbp	17804	2304
Gyg	1773	3052
Ifit2	4135	722
Bcar3	3756	8515
Thumpd3	2160	3428
Lrig1	4966	5435
Ptchd4	6945	6
Zfp944	2862	919
Mapkbp1	6955	1645
Fubp1	6965	16041
Tstd2	3944	2569
Ccdc171	6602	802
Zranb2	2974	7738
Rps28	396	17452
Ndrg3	3225	1782
Nubp2	1551	2900
Hspa14	5815	3632
Zcchc17	2233	2581
Vapa	1757	13589
Ncdn	4088	3767
Rif1	12889	3849
Atg13	3783	3607
Znrd1	783	1133
Blcap	2108	5181
Slc23a2	7108	4720
Ccnl1	2316	11186
Dnajb5	3641	679
Uqcc1	2715	2685
Gemin6	1128	802
Hspb11	676	547
Myoz2	1325	629
Npr2	3853	809
Pdss1	3563	982
Apip	924	1242
Abcg2	2756	702
Slc12a5	6181	103
Exosc10	3190	6381
Ctps	3089	6449
Epb41l4b	7901	13182
Extl1	4190	72
Ube2j1	3570	9718
Alg2	3055	3905
Fhl5	1267	60
Maco1	4093	5931
Ctnnd2	6005	42
Pgap4	3261	146
Fbxo3	6260	5190
Arf3	3738	18799
Ufl1	5772	3144
Slfn10-ps	3707	899
Sdhb	1079	7538
Rps21	564	24404
Ssbp3	3348	5522
Mindy3	2588	2129
Psmd5	2042	4401
Naga	1913	4494
Cul1	3836	13692
Dph7	1877	914
Tmco5	1176	0
Slco1a4	3872	170
Ccdc34	2449	3921
Dtwd1	1706	616
Pik3r3	5634	332
Top1mt	1905	1530
Dscc1	1511	639
Tax1bp1	3749	16136
S100a3	914	71
Tmprss6	3192	568
9930104L06Rik	2942	1018
Itgb1bp1	2179	1843
Osgin2	3596	598
Trabd	2965	7668
Ttc33	1957	2567
Mad2l1	2088	5530
Tmem87b	4729	3761
Slc38a2	4658	33563
Tns2	4782	6648
Sinhcaf	2914	2675
Prokr1	4229	114
Ankrd33	1689	0
Wdr3	3432	6517
Asb4	3474	107
Casq2	2563	326
Cyp2d12	1633	0
Chchd3	1575	8529
Klf15	5378	480
Chmp3	3204	11258
Ddx5	3900	66468
Tlcd4	6714	399
Pank2	4893	3840
Il7r	3210	578
Bcl2l14	2428	165
Pcyox1	4291	10539
Gzf1	4375	2544
Ttc17	5156	3111
Adipor2	4261	15840
Ecpas	8888	14640
Calm2	1216	38843
Rfx5	4482	1064
Scrn3	4544	1015
Lypla1	2503	6339
Ccdc91	2646	3023
Fam110b	3440	112
Adgre1	3245	2551
Pramel12	3886	1361
Lce1m	878	0
Syt2	7312	8
Gtf2e1	3254	1574
Zfp933	4505	654
Spidr	3281	2945
Epb41l3	5644	520
Slc45a1	2563	7
Nphp4	5262	60
Tex10	3342	3713
Foxn2	5341	2842
Rmnd5a	6165	8471
Ndfip1	1812	17255
Car14	1940	100
Supt4a	942	2839
Myl4	1203	72
Abcd3	3682	9585
Irgm1	2305	2357
Mrps21	510	4195
Ube2f	2306	4375
Tex37	807	0
Slc22a2	2421	4
Tcaf1	6367	2536
Mitd1	1556	1523
Cnppd1	2640	5540
Zfand3	3534	7888
Zfp13	2460	588
Tmeff1	2464	382
Rsrc1	3365	4308
Slc35d1	4399	5621
Lrrc19	3780	16
Zbtb14	4144	1237
2410004B18Rik	1709	1761
Gpam	6395	3430
Msln	2178	47532
Rftn2	3754	1077
Acnat2	1732	94
Taf8	3254	1663
Ctsj	1387	4
Prpf38b	3101	14839
Toporsl	2776	4
Slc35f5	2984	4125
Tex30	1322	2273
Kctd20	4305	6661
Tspan9	5135	4784
Cyp4f16	2243	1817
Ptk6	2286	3
Lmo3	4893	0
Zfp46	5059	1215
Gstcd	3668	4737
Zmym1	4047	1175
Atpsckmt	1292	988
Stx8	6680	1853
Ccdc163	2192	874
Ssr2	1293	19205
Ubn1	6470	6627
Gosr1	4288	3688
Lzic	1881	1635
Errfi1	3358	28919
Mpp2	4245	576
Tex48	694	0
Ppid	2047	8065
Qtrt2	3061	3077
Bcas2	1510	6941
Raf1	3328	9166
Stam	3694	4245
Tcea2	1954	259
Map2k6	3403	2631
Coq3	2815	1185
Wls	5778	11085
Gstm7	1458	206
Tmem268	4010	1474
Idh3g	1331	7747
Nmnat1	2446	490
Mcts1	1484	1713
Btf3l4	3255	1667
Snf8	1004	2366
Dnajb4	5088	3292
Ssu2	1321	14
Atg3	2013	3377
Tceal1	1202	113
Vgll4	3244	7577
Cyb561	3095	7854
Dennd11	6742	3152
Pabpc4	3112	12371
Tmem39b	1903	788
Fam205c	1690	2
Dvl1	3397	9565
Ptpn7	3442	769
Dennd2c	5264	943
Pdzd11	1084	1882
Oxld1	820	252
Zmat5	814	586
Ube2e3	3464	5712
Nyap2	10105	16
Xrn2	3428	13747
Timp4	2942	117
Fbxw5	2401	2580
Slc2a8	2118	619
Olfr449	1255	0
Sec61a2	2458	1226
Aldh1l1	3139	8795
Ergic3	1427	9896
Slc39a10	5380	6850
4933430I17Rik	1945	38
Polr2h	1280	3548
Ppdpf	998	2659
Tifa	2276	749
Ntmt1	3297	2002
Dph6	2779	1590
Gapvd1	6892	7574
Trmt6	3112	3736
Rhbdl2	1337	788
Oscp1	5043	504
Kcnc4	3015	19
Prpf18	3598	2854
Snap47	1927	2312
Slc35a5	4200	1493
Thrap3	4477	15210
Limd2	3471	4486
Susd4	3237	36
Ndufaf1	1492	1316
Sat2	1397	107
Lyzl6	905	0
Srsf12	3151	7
Kyat1	2177	594
Cnot8	3194	4124
Il1rl2	4070	1121
Cpne3	5679	6515
Mrpl30	772	4761
Dennd4b	5746	1972
Dcbld2	6487	4062
Dusp12	1388	1284
Optn	2686	4607
Zbtb37	4817	597
Snorc	548	4
Apmap	2427	2922
Gale	1432	2449
Mrgbp	2035	1686
Sla2	1434	27
Slc24a3	4071	81
Mtmr12	4584	3857
Cdc123	2304	4256
Sptlc3	2232	9
Cxcr4	1814	1715
Fcgr3	1353	13117
Hspd1	2588	43865
Sult4a1	2512	4
Pecr	1192	880
Harbi1	3044	673
Tvp23b	1906	2460
Ift52	2370	3176
Spata2	3996	1767
Arhgap29	5863	1641
Gpr149	4316	28
Unc50	1307	3812
Ubxn4	4141	10044
Vmp1	3180	24596
Slc28a2	3335	255
Agbl2	4956	6
Desi1	3058	4284
Bpi	1779	0
Pramel6	2077	0
Sphkap	6928	30
Lamp5	2168	0
Abhd12	2072	7439
Crispld1	4233	19
Chst1	2992	280
Rsbn1	6743	2680
Snip1	2429	1522
Rbm12b2	3426	741
Prkaa2	8202	560
Csn3	1843	136
Pramel23	1820	0
Lgals12	2777	42
Amhr2	2084	8
Mcm7	2880	13546
Efr3a	5298	8678
Nudt1	1196	1114
Pla2g1b	830	11
Crtac1	2819	0
Ptpn12	4911	10467
Ube2d3	4695	37444
Taf6	2472	3405
Batf2	2005	231
S100a16	1613	14198
Commd8	4110	2801
Fam118a	4533	1642
Ssh3	2800	4545
Sart3	4393	5666
Zfp385a	2399	1140
Ccl24	1297	1423
Sult1b1	2803	44
Slc25a28	1535	3602
Fndc4	2346	344
Dpcd	1385	1554
Dpysl5	6294	34
Fndc3b	6992	17929
Mrps17	1250	2510
Tmem128	1501	2024
Sstr3	4369	22
Psmg3	871	1559
Pgm2	2571	4697
Ppp6r2	5092	2584
Paics	2491	24841
Smc4	4327	20663
